fr;en;Description;Value;$;W;LVL;Sprite ID
Hareng;Herring;Heals the crew member only when he’s not hungry;6;10;2;0;1
Sardine;Sardine;Heals the crew member only when he’s not hungry;6;7;2;0;1
Thon;Tuna;Heals the crew member only when he’s not hungry;6;8;2;0;1
Palourde;Clam;Heals the crew member only when he’s not hungry;6;10;2;0;1
Lotte;Monkfish;Heals the crew member only when he’s not hungry;6;12;2;0;1
Morue;Smelly codfish;Heals the crew member only when he’s not hungry;6;8;2;0;1
Crabe;Crab;Heals the crew member only when he’s not hungry;6;11;2;0;1
Crevette;Shrimp;Heals the crew member only when he’s not hungry;6;11;2;0;1
Saumon;Salmon;Heals the crew member only when he’s not hungry;6;10;2;0;1
Cabillaud;Hude codfish;Heals the crew member only when he’s not hungry;6;9;2;0;1
Homard;Lobster;Heals the crew member only when he’s not hungry;6;9;2;0;1
Maquereau;Mackerel;Heals the crew member only when he’s not hungry;6;10;2;0;1
Esturgeon;Sturgeon;Heals the crew member only when he’s not hungry;6;8;2;0;1
Colin;Hake;Heals the crew member only when he’s not hungry;6;11;2;0;1
Lardon;Lard;Greatly heals the crew member only when he’s not hungry;8;12;2;0;2
Lapin;Rabbit;Greatly heals the crew member only when he’s not hungry;8;15;2;0;2
Poulet;Chicken;Greatly heals the crew member only when he’s not hungry;8;12;2;0;2
Boeuf;Beef;Greatly heals the crew member only when he’s not hungry;8;15;2;0;2
Porc;Pork;Greatly heals the crew member only when he’s not hungry;8;15;2;0;2
Cochon;Pig;Greatly heals the crew member only when he’s not hungry;8;18;2;0;2
Gros jambon;Big ham;Greatly heals the crew member only when he’s not hungry;8;16;2;0;2
Petit jambon;Small ham;Greatly heals the crew member only when he’s not hungry;8;15;2;0;2
Rumsteak;Rumsteak;Greatly heals the crew member only when he’s not hungry;8;17;2;0;2
Saucisson;Sausage;Greatly heals the crew member only when he’s not hungry;8;14;2;0;2
Betterave;Beetroot;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Chou de Bruxelles;Brussel sprout;Heals the crew member a little bit only when he’s not hungry;4;4;2;0;0
Châtaigne;Chestnut;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Citron;Lemon;Heals the crew member a little bit only when he’s not hungry;4;8;2;0;0
Poire;Peer;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Maïs;Corn;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Carotte;Carrot;Heals the crew member a little bit only when he’s not hungry;4;3;2;0;0
Ananas;Pinapple;Heals the crew member a little bit only when he’s not hungry;4;3;2;0;0
Clémentine;Clementine;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Orange;Orange;Heals the crew member a little bit only when he’s not hungry;4;5;2;0;0
Champignon;Mushshroom;Heals the crew member a little bit only when he’s not hungry;4;6;2;0;0
Pomme;Apple;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Asperges;Aspergu;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
Abricot;Apricot;Heals the crew member a little bit only when he’s not hungry;4;6;2;0;0
Tarte aux pommes;Applepie;Heals the crew member a little bit only when he’s not hungry;4;2;2;0;0
