fr;en;Description;Value;$;W;LVL;Sprite ID
Marcel;Simple docker;C'est un marcel;9;18;10;1;0
Toge en tissu;Linnen gown;C'est un toge en tissu;10;15;10;1;0
Habit de paysan;Farmer clothing;C'est un habit de paysan;6;19;10;1;0
Tenue de voyageur;Traveller gear;C'est un tenue de voyageur;13;26;10;1;0
Fourrure;Fur;C'est un fourrure;7;17;10;1;1
Salopette;Overall;C'est un salopette;14;22;10;1;0
Chemise de maille;Thick shirt;C'est un chemise de maille;19;33;10;2;1
Armure de parade;Parade armor;C'est un armure de parade;18;29;10;2;1
Armure de bois;Wooden armor;C'est un armure de bois;23;45;10;2;1
Cuirasse rouillée;Rusty breastplate;C'est un cuirasse rouillée;16;29;10;2;1
Harnais de cuir;Leather harness;C'est un harnais de cuir;23;44;10;2;0
Veste renforcée;Reinforced vest;C'est un veste renforcée;16;31;10;2;1
Plastron de cuir;Leather breastplate;C'est un plastron de cuir;31;56;10;3;1
Tenue d'officier;Officer outfit;C'est un tenue d'officier;30;50;10;3;0
Habit de bandit;Bandit clothes;C'est un habit de bandit;34;53;10;3;0
Plastron de fer;Iron breastplate;C'est un plastron de fer;31;49;10;3;2
Cotte de mailles;Coat of mail;C'est un cotte de mailles;27;48;10;3;2
Chemise de mailles;Chain mail;C'est un chemise de mailles;43;71;10;4;1
Armure de parade;Parade armor;C'est un armure de parade;40;62;10;4;2
Armure de bois;Wooden armor;C'est un armure de bois;40;60;10;4;0
Cuirasse rouillée;Rusty breastplate;C'est un cuirasse rouillée;37;63;10;4;1
Harnais de cuir;Leather harness;C'est un harnais de cuir;40;70;10;4;1
Veste renforcée;Reinforced vest;C'est un veste renforcée;40;65;10;4;1
Plastron de cuir;Leather breastplate;C'est un plastron de cuir;46;69;10;5;1
Tenue d'officier;Officer outfit;C'est un tenue d'officier;47;71;10;5;0
Habit de bandit;Bandit clothes;C'est un habit de bandit;53;89;10;5;0
Plastron de fer;Iron breastplate;C'est un plastron de fer;54;86;10;5;2
Cotte de maille;Coat of mail;C'est un cotte de maille;53;90;10;5;2
Chemise de maille;Chain mail;C'est un chemise de maille;60;98;10;6;2
Armure de parade;Parade armor;C'est un armure de parade;57;90;10;6;2
Armure de bois;Wooden armor;C'est un armure de bois;58;93;10;6;1
Cuirasse rouillée;Rusty breastplate;C'est un cuirasse rouillée;64;99;10;6;1
Harnais de cuir;Leather harness;C'est un harnais de cuir;64;104;10;6;1
Veste renforcée;Reinforced vest;C'est un veste renforcée;62;96;10;6;1
Plastron de cuir;Leather breastplate;C'est un plastron de cuir;67;102;10;7;1
Tenue d'officier;Officer outfit;C'est un tenue d'officier;67;106;10;7;0
Habit de bandit;Bandit clothes;C'est un habit de bandit;68;106;10;7;0
Plastron de fer;Iron breastplate;C'est un plastron de fer;72;110;10;7;2
Cotte de maille;Coat of mail;C'est un cotte de maille;67;101;10;7;2
Chemise de maille;Chain mail;C'est un chemise de maille;77;119;10;8;1
Armure de parade;Parade armor;C'est un armure de parade;80;123;10;8;1
Armure de bois;Wooden armor;C'est un armure de bois;79;127;10;8;1
Cuirasse rouillée;Rusty breastplate;C'est un cuirasse rouillée;81;128;10;8;1
Harnais de cuir;Leather harness;C'est un harnais de cuir;78;118;10;8;1
Veste renforcée;Reinforced vest;C'est un veste renforcée;81;122;10;8;1
Plastron de cuir;Leather breastplate;C'est un plastron de cuir;91;147;10;9;1
Tenue d'officier;Officer outfit;C'est un tenue d'officier;88;133;10;9;0
Habit de bandit;Bandit clothes;C'est un habit de bandit;93;149;10;9;0
Plastron de fer;Iron breastplate;C'est un plastron de fer;92;147;10;9;2
Cotte de maille;Coat of mail;C'est un cotte de maille;89;135;10;9;2
Armure du roi pirate;The armor of the Pirate King;C'est un armure du roi pirate;100;153;10;10;2
