Nom;Fréquence / 5;Boat Type;;;;;;;;;;;;;
Marchand;25;0;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;
Narrator : A small ship approaches NOMBATEAU. The crew is small but it looks like they carry some goods.;;;;;;;;;;;;;;;
NewCrew1;;;;;[bobby];;;[combat];;[bateau vide];;;;;
OtherSpeak : Hello there, travelers!;Node=>bateau vide;Node=>combat;;;RandomPercent20;;;OtherSpeak : You bloody bandit!;;Narrator : The ship is empty.;;;;;
[choix];;;;;OtherSpeak : Oh I heard some stories! People talk about heading DIRECTIONTOFORMULA.;OtherSpeak : Never heard of it, sorry mate.;;RemoveKarma;;SetChoices2;;;;;
RandomRange4;;;;;Node=>choix;Node=>choix;;LaunchCombat;;Choice : (leave);Choice : (search)(loot);;;;
Node=>vetement;Node=>armes;Node=>nourriture;Node=>babiole;;;;;Node=>bateau vide;;DestroyShip;Fade;;;;
;;;;;;;;;;Leave;RandomPercent20;;;;
;;;;;;;;;;;PlayerSpeak : Nothin' really worth anythin'.;[fouille];;;
;;;;;;;;;;;Node=>bateau vide;RandomRange3;;;PlayerSpeak : There’s nothing left.
[vetement];;;;[autre];;;;;;;;PlayerSpeak : Weapons, yes!;PlayerSpeak : Some food!;PlayerSpeak : Just some baubles...;Node=>bateau vide
SetChoices3;;;;SetChoices4;;;;;;;;LootWeapons;LootFood;LootMisc;
Choice : What are ye sellin'?;Choice : (trade);Choice : (other);;Choice : (leave);Choice : (attack);Choice : (other);Choice : Have ye heard of NOMTRESOR?;;;;;Switch=>fouille;Switch=>fouille;Switch=>fouille;
OtherSpeak : Mostly clothing, makes for good quality protection if you have the gold for it!;TradeClothes;Node=>autre;;OtherSpeak : Come back anytime!;Node=>combat;Node=>choix;Node=>bobby;;;;;Fade;Fade;Fade;
Node=>choix;Node=>choix;;;Leave;;;;;;;;Node=>bateau vide;Node=>bateau vide;Node=>bateau vide;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[armes];;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : What do ye sell?;Choice : Show me what ye have, peddler! (trade);Choice : (other);;;;;;;;;;;;;
OtherSpeak : Weapons, blades! The best you can find!;TradeWeapons;Node=>autre;;;;;;;;;;;;;
Node=>choix;Node=>choix;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[nourriture];;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : So what do ye have to sell?;Choice : Show me yer wares. (trade);Choice : (other);;;;;;;;;;;;;
OtherSpeak : Sustenance for the hungry sailor! I’m sure you’re hungry.;TradeFood;Node=>autre;;;;;;;;;;;;;
Node=>choix;Node=>choix;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[babiole];;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : What are ye sellin'?;Choice : I’d like to buy. (trade);Choice : (other);;;;;;;;;;;;;
OtherSpeak : Baubles and other small items, take a look!;TradeMisc;Node=>autre;;;;;;;;;;;;;
Node=>choix;Node=>choix;;;;;;;;;;;;;;
