Nom;Fréquence / 5;Boat Type;;;;
Radeau;16,67;0;;;;
[debut];;;;;;
Narrator : Un miniscule rafiot tape la coque du NOMBATEAU. Une personne maigre appelle à l'aide en direction de CAPITAINE;;;;;;
SetChoices2;;;;;;
Choice : (tracer sa route)(partir);Choice : Vous allez bien monsieur !?;;;;;
PlayerSpeak : On a rien à faire ici !;Fade;;;;;
Leave;Node=>naufragé;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[naufragé];;;;;;
NewCrew1;;;;;;
OtherSpeak : Ça fait des jours que je ne mange que des méduses !;Node=>plage déserte;OtherSpeak : Oh non encore vous !;;;;
OtherSpeak : Emmenez moi avec vous, je vous en prie !;;OtherSpeak : Je vous en pris laissez moi en vie;;;;
[dialogue];;Node=>combat dialogue;;;;
SetChoices3;;;;;;
Choice : Monte ! (membre);Choice : Donne nous tout ce que tu as ou on te croque la bite.(attaquer);;Choice : Désolé mon gars, pas assez de place à bord;;;
OtherSpeak : Merci m'sieur !;RandomRange2;;RandomRange2;;;
AddMember;OtherSpeak : Mais je n'ai absolument rien !;Node=>combat naufragé;OtherSpeak : Donnez moi au moins quelque chose à manger;;;Node=>combat naufragé
Node=>plage déserte;Node=>combat dialogue;;SetChoices2;;;
;;;Choice : Tiens;;Choice : Non continue à manger des méduses;
;;;RemoveFromInventory/Food;;OtherSpeak : Vous êtes sans coeur !;
;;;OtherSpeak : Merci…;OtherSpeak : Mais… Vous n'avez rien…;Node=>plage déserte;
;;;AddToInventory/Misc;HideOther;;
;;;HideOther;Leave;;
;;;Leave;;;
;;;;;;
[combat dialogue];;;;;;
SetChoices2;;;;;;
Choice : Mon couillon t'es en vaine : On s'en va(partir);Choice : Rien à foutre;;;;;
OtherSpeak : …;RandomRange2;;;;;
Leave;OtherSpeak : Tenez…;OtherSpeak : Faudra passer sur mon cadavre ! ;;;;
;LootMisc;Node=>combat naufragé;;;;
;HideOther;;;;;
;Leave;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[combat naufragé];;;;;;
OtherSpeak : Enculé !;;;;;;
RemoveKarma;;;;;;
LaunchCombat;;;;;;
Node=>plage déserte;;;;;;
;;;;;;
;;;;;;
;;;;;;
[plage déserte];;;;;;
Narrator : La radeau est vide. Il était à deux doigts de se démanteler.;;;;;;
SetChoices2;;;;;;
Choice : (continuer sa route)(partir);Choice : (fouiller)(loot);;;;;
DestroyShip;[check];;;;;
Leave;RandomRange2;;;;;PlayerSpeak : Il n'y a vraiment plus grand-chose.
;PlayerSpeak : Pas grand-chose… Sans surprise;Switch=>check;;;;Node=>plage déserte
;Node=>plage déserte;RandomRange3;;;;
;;PlayerSpeak : C'était un bouquineur apparemment…;PlayerSpeak : Une lanterne…;AddToInventory/Misc;;
;;Node=>plage déserte;AddToInventory<Lanterne>/Misc;PlayerSpeak : LASTITEM ? Etonnent…;;
;;;PlayerSpeak : Comment il a eu ça ?;Node=>plage déserte;;
;;;Node=>plage déserte;;;
