Nom;Fréquence / 5;Sprite ID;;
Indice Vielle Dame;100;1;;
[debut];;;;
Narrator : A very high, needle looking rock shoots up from the waves out of the ocean. As you approach, you can discern that a staircase has been carved in it.;;;;
SetChoices2;;;;
Choice : (go back)(leave);Choice : (climb up);;;
PlayerSpeak : That’s too high, no thanks!;PlayerSpeak : Somethin' good HAS to be up there. Let’s go, mateys!;;;
Leave;Fade;;;
;Node=>maison;;;
[maison];;;;
CheckQuest=>maison;;;;
SetBG(Forest);;;;
Narrator : After climbing up the stairs for hours, the crew arrives to the top. There only stands a small cottage, relentlessly battered by strong winds.;;;;
SetChoices2;;;;
Choice : (climb back down)(leave);Choice : (knock);;;
PlayerSpeak : It be too dangerous here, we’re leaving.;NewCrew1/F;;;
Fade;OtherSpeak : Hello there, adventurers of the sea!;Node=>empty house;Node=>combat;
Node=>debut;PlayerSpeak : Greetings!;;;
;SetBG(House);;;
;[discussion vielle];;;
;SetChoices3;;;
;Choice : Time to go…(leave);Choice : (ask for food)(trade);;Choice : Do ye know anythin' about NOMTRESOR?
;OtherSpeak : Very well, thank you.;RandomRange2;;OtherSpeak : That damned thing? Of course I do.
;HideOther;OtherSpeak : I’ll see in the pantry if I have anything to spare.;OtherSpeak : I’m afraid I don't have anything to spare, sorry lads!;OtherSpeak : My son went after this legend and never came back.
;Leave;TradeFood;Node=>discussion vielle;OtherSpeak : Before he left, the only word he mentioned was FORMULA.
;;PlayerSpeak : Many thanks!;;Node=>discussion vielle
;;Node=>discussion vielle;;
;;;;
;;;;
;;;;
[empty house];[combat];;;
SetBG(House);OtherSpeak : YOU! How dare you come back here?!;;;
Narrator : The house is empty. The long dead body of the owner is laying on the floor.;LaunchCombat;;;
Narrator : On the desk, CAPITAINE reads on a piece of paper a scribbled word.;Leave;;;
Narrator : It says : FORMULA.;;;;
Leave;;;;
