Nom;Fréquence / 5;Sprite ID;;;;
Indice Vielle Dame;100;1;;;;
[debut];;;;;;
Narrator : Un rocher immense sort de l'océan. Un escalier est sculpté dans la pierre.;;;;;;
SetChoices2;;;;;;
Choice : (repartir)(partir);Choice : (monter);;;;;
PlayerSpeak : Trop haut ! Tayo !;PlayerSpeak : Aller en route !;;;;;
Leave;Fade;;;;;
;Node=>maison;;;;;
[maison];;;;;;
CheckQuest=>maison;;;;;;
Narrator : Après quelques heures de marche, l'équipage arrive au sommet. Une petite chaumière surplombe le rocher.;;;;;;
SetChoices2;;;;;;
Choice : (redescendre)(partir);Choice : (toquer);;;;;
PlayerSpeak : J'ai le vertige, on s'casse.;NewCrew1/F;;;;;
Fade;OtherSpeak : Hélà !;;;;Narrator : La maison est vide. Seul le corps de l'habitant est étendu  à l'entrée;OtherSpeak : Comment osez vous revenir !?
Node=>debut;PlayerSpeak : Bonjour !;;;;Narrator : Sur un bureau en face, CAPITAINE un mot griffoné grossièrement.;LaunchCombat
;[discussion vielle];;;;Narrator : Il est écrit : FORMULA.;Leave
;SetChoices3;;;;Leave;
;Choice : On va y aller…(partir);Choice : (demander nourriture)(trade);;Choice : NOMTRESOR, ça vous parle ?;;
;OtherSpeak : OK merci !;RandomRange2;;OtherSpeak : Bien sûr;;
;HideOther;OtherSpeak : Je vais voir dans mon garde manger.;OtherSpeak : J'en ai assez peu pour moi même, désolé.;OtherSpeak : Mon fils est lui aussi parti à sa recherche.;;
;Narrator : L'équipage est au sommet. Une petite chaumière surplombe le rocher.;TradeFood;Node=>discussion vielle;OtherSpeak : Il n'avait que le mot FORMULA à la bouche;;
;Leave;PlayerSpeak : Mille merci !;;Node=>discussion vielle;;
;;Node=>discussion vielle;;;;
