Nom;Fréquence / 5;Sprite ID;Display Name;;;;;;;;;
Maisonnette;1;1;Captain’s House;;;;;;;;;
[premiere visite];;;;;;;;;;;;
Narrator : It’s the big day for CAPITAINE! They're finally going to embark on a journey to look for NOMTRESOR, which will help them pay for their future sea faring adventures.;Node=>retour;;[chambre];;;;;;;;;
Narrator : With only their trustworthy boat, NOMBATEAU, and a few food rations, the ocean and its mysteries await.;;;Narrator : CAPITAINE are in their childhood bedroom. Next to their bed, the desk is covered with drawings, books and tales about the ocean.;;;;;;;;;
SetChoices2;;;[choix chambre];;;;;;;;;
Choice : (set sail);Choice : (enter the house);;SetChoices3;;;;;;;;;
PlayerSpeak : Huzzah, let’s go!;Fade;;Choice : (go back to the living room) (leave);Choice : (sleep until NEXTTIME) (sleep);Choice : (desk) (quest);;;;;;;
Switch=>premiere visite;Node=>salon;;Fade;ChangeTimeOfDay;Narrator : The most worn down book talks about the waters surrounding this island :;;;;;;;
Leave;;;Node=>salon;Node=>salon;Narrator : It says that the seas here are calm and not very dangerous to navigate.;;;;;;;
;;;;;Narrator : There are legends of a small local treasure called NOMTRESOR. Few have taken interest in it, but it may be a good start to gain unnegligible wealth and renown.;;;;;;;
;;;;;Narrator : It's a perfect first quest for an inexperienced but eager adventurer like CAPITAINE!;;;;;;;
;;;;;Node=>choix chambre;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[retour];;;;;;;;;;;;
Narrator : CAPITAINE steps back on the small island where they grew up. A rock path leads to their childhood cottage.;;;;;;;;;;;;
PlayerSpeak : Home!;;;;;;;;;;;;
CheckQuest=>salon;;;;;;;;;;;;
[salon];;;;;;;[noeud jardin];;;;;
SetBG(House);;;;;;;SetBG(Forest);;;;;
SetChoices4;;;;;;;RandomRange2;;;;;
Choice : (leave);Choice : (go into the bedroom);Choice : (go into the kitchen);;Choice : (go into the garden);;;Fade;Fade;;;;
PlayerSpeak : Hop!;Fade;RandomRange2;;Node=>noeud jardin;;;Node=>jardin;Node=>jardin-père;;;;
Leave;Node=>chambre;Fade;Fade;;;;;;;;;
;;Node=>cuisine;Node=>cuisine-mère;;;;;;[mère partie];[cuisine-mère-morte];;
;;;;;;;Node=>mère partie;;PlayerSpeak : Ma?;Narrator : Your mom is sprawled lifeless on the floor.;;
[cuisine];;;[cuisine-mère];;;;Node=>cuisine-mère-morte;Node=>attaqua mère;Narrator : Your mother probably fled after seeing her own child kill their father.;Node=>cuisine;;[attaqua mère]
SetBG(TavernEmpty);;;NewCrew1/F/10;;;;;;Node=>cuisine;;;PlayerSpeak : I'm sorry ma...
SetChoices2;;;OtherSpeak : Oh it's my dear CAPITAINE! It's so nice to see you, darling!;;;;;;;;;OtherSpeak : It’s alright, dear.
Choice : (go back to the living room)(leave);Choice : (check the pantry)(loot);;[choix-cuisine];;;;;;;;;Node=>choix-mère
Fade;LootFood;;SetChoices3;;;;;;;;;
Node=>salon;Node=>cuisine;;Choice : (go back to the living room)(leave);Choice : (check the pantry)(loot);;Choice : Ma?;;;;;;
;;;HideOther;RandomRange2;;OtherSpeak : Yes honey?;;;;;;
;;;Fade;OtherSpeak : Help yourself! Put some more meat onto your bones, dear, you look famished.;OtherSpeak : Sorry I wasn't expecting you, the pantry is pretty empty...;Node=>choix-mère;;;;;;
;;;Node=>salon;LootFood;Node=>choix-cuisine;;;;;;;
;;;;Node=>choix-cuisine;;;;;;;;
;;;[choix-mère];;;;;;;;;
;;;SetChoices3;;;;;;;;;
;;;Choice : Nevermind! (leave);Choice : Ye know where NOMTRESOR is?;;Choice : Do ye have any advice?;;;;;;
;;;HideOther;RandomRange2;;GiveTip;;;;;;
;;;Fade;OtherSpeak : These stories you were obsessed with when you were young?;OtherSpeak : I was hoping by now you would have stopped all this nonsense, my child.;Node=>choix-mère;;;;;;
;;;Node=>salon;TellClue;Node=>choix-mère;;;;;;;
;;;;Node=>choix-mère;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[jardin];;;[jardin-père];;;;;;;;;
CheckDay;;;CheckDay;;;;;;;;;
Narrator : The garden is peaceful as always. Over the distant sound of the sea, a few seagulls cry out. Sunlight is gently warming CAPITAINE up.;Narrator : The night is quiet and mild. The only sounds breaking the silence are the surrounding hum of crickets, and the hooting of an owl nearby.;;Narrator : Over the distant sound of the sea, a few seagulls cry out. The garden is peaceful as always and sunlight is gently warming CAPITAINE up. Dad is bent over, pulling out some weeds.;Narrator : The night is quiet and mild, crickets chirping. Dad is sitting in his favourite chair, sipping some rum.;;;;;;;;
Node=>choix jardin;Node=>choix jardin;;Node=>père;Node=>père;;;;;;;;
;;;;;;;;;;;;
[choix jardin];;;[père];;;;;;;;;
SetChoices2;;;NewCrew1/M;;;;;;;;;
Choice : (go back to the living room)(leave);Choice : (watch the garden);;OtherSpeak : Hey kid!;Node=>jardin-père-mort;Node=>attaqua père;;;;;;;
Fade;Node=>jardin;;Node=>choix-père;;;;;;;;;
Node=>salon;;;;;;;;;;;;
;;;;;;;;;;;;
;;;[choix-père];;;;[jardin-père-mort];;[attaqua père];;;
;;;SetChoices4;;;;Narrator : The lifeless body of your dad lays on the grass.;;OtherSpeak : You came back, you little shit!;;;
;;;Choice : (go back to the living room)(leave);Choice : Any hint or advice for your favourite kid?;Choice : (attack);Choice : Is there anything I can do for you?(quest);Node=>jardin;;LaunchCombat;;;
;;;Fade;GiveTip;Node=>combat père;RandomRange2;;;Node=>jardin-père-mort;;;
;;;HideOther;Node=>choix-père;;OtherSpeak : It’s all good here, thanks!;NewQuest=>choix-père;;;;;
;;;Node=>salon;;;Node=>choix-père;;;;;;
;;;;;;;;;;;;
;;;[combat père];;;;;;;;;
;;;RemoveKarma;;;;;;;;;
;;;LaunchCombat;;;;;;;;;
;;;Switch=>cuisine-mère;;;;;;;;;
;;;Node=>jardin-père-mort;;;;;;;;;
