Nom;Fréquence / 5;Sprite ID;Display Name;;
Ma Maison;1;1;Captain’s House;;
[premiere visite];;;;;
Narrator : East of here is the labyrinth of NOMTRESOR, supposedly hiding a big treasure.;Node=>retour;;[chambre];;
Narrator : Aboard their boat, NOMBATEAU, CAPITAINE sets sail to venture there and grab it for themselves.; ;;Narrator : CAPITAINE are in their childhood bedroom. Next to their bed, the desk is covered with drawings, books and tales about the ocean.;;
SetChoices2;;;[choix chambre];;
Choice : (set sail);Choice : (enter the house);;SetChoices3;;
PlayerSpeak : Let’s got !;Fade;;Choice : (go back to the living room) (leave);Choice : (sleep until NEXTTIME) (sleep);Choice : (desk) (quest)
Switch=>premiere visite;Node=>salon;;Fade;ChangeTimeOfDay;Narrator : It says that east from here, the furthest from every shore you can be, you can find a huge, maze-like island.
Leave;;;Node=>salon;Node=>salon;Narrator : The island also supposedly is riddled with caves filled with precious loot.
;;;;;Narrator : Before venturing into the Labyrinth and the wild waters surrounding it…
;;;;;Narrator : One would do well to explore and prepare as much as they can in the villages and other islands around…
;;;;;Node=>choix chambre
;;;;;
;;;;;
;;;;;
[retour];;;;;
Narrator : CAPITAINE steps back on the small island where they grew up. A rock path leads to their childhood cottage.;;;;;
PlayerSpeak : Home!;;;;;
CheckQuest=>salon;;;;;
[salon];;;;;
SetBG(House);;;;;
SetChoices4;;;;;
Choice : (leave);Choice : (go into the bedroom);Choice : (go into the kitchen);Choice : (go into the garden);;
PlayerSpeak : Hop!;Fade;Fade;Fade;;
Leave;Node=>chambre;Node=>cuisine;Node=>jardin;;
;;;;;
;;;;;
[cuisine];;;;;
SetChoices2;;;;;
Choice : (go back to the living room) (leave);Choice : (check the pantry) (loot);;;;
Fade;LootFood;;;;
Node=>salon;Node=>cuisine;;;;
;;;;;
[jardin];;;;;
SetBG(Forest);;;;;
CheckDay;;;;;
Narrator : The garden is peaceful as always. Over the distant sound of the sea, a few seagulls cry out. Sunlight is gently warming CAPITAINE up.;Narrator : The night is quiet and mild. The only sounds breaking the silence are the surrounding hum of crickets, and the hooting of an owl nearby.;;;;
Node=>choix jardin;Node=>choix jardin;;;;
;;;;;
[choix jardin];;;;;
SetChoices2;;;;;
Choice : (go back to the living room)(leave);Choice : (watch the garden);;;;
Fade;Node=>jardin;;;;
Node=>salon;;;;;
