Nom;Fréquence %;Sprite ID;Display Name;;;;;;;;;;;;;;;
Ferme;5,08;1;Farm;;;;;;;;;;;;;;;
Narrator : Right next to the beach where the NOMBATEAU is, the crew steps in a wet and grassy field. A bit further away, they can see a farm.;;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;
SetBG(Island);;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : Let’s sail away. (leave);Choice : Onward to the farm!;;;;;;;;;;;;;;;;;
PlayerSpeak : We’re leaving !;Fade;;;;;;;;;;;;;;;;;
Leave;[choix ferme];;;;;;;;;;;;;;;;;
;RandomRange2;;;;;;;;;;;;;;;;;
;Node=>ferme détruite;Node=>ferme normale;;;;;;;;;;;;;;;;
;;;;;;;[ferme normale];;;;;;;;;;;
;;;;;;;SetBG(Forest);;;;;;;;;;;
[ferme détruite];;;;;;;NewCrew1/F;;;;;;;;;;;
SetBG(House);;;;;;;Narrator : It’s a small and charming farm, surrounded by fields. A young woman is around, apparently in the process of removing weeds. From here a path leads back to the beach and another goes further down the hills.;Node=>fermière morte;Node=>combat fermière;;;;;;;;;
Narrator : The smell of smoke gets stronger as CAPITAINE gets closer. The farm is burned to the ground, and not a single soul is here. Footsteps leading away from the farm are going to the beach.;;;;;;;RandomRange2;;;;;;;;;;;
[choix];;;;;;;Node=>choix ferme normale;Node=>choix ferme normale – poules;;;;;;;;;;
SetChoices4;;;;;;;;;;;;;;;;;;
Choice : (get back to the boat) (leave);Choice : (search the remains) (loot);;Choice : (examine the papers);;Choice : (follow the footsteps) (other);;;;;;;;;;;;;
Fade;RandomPercent50;;RandomRange2;;Fade;;;;;;;;;;;;;
Node=>debut;PlayerSpeak : It's all that's left...;PlayerSpeak : Nothing to salvage here.;PlayerSpeak : Well well! Those papers mention NOMTRESOR! What luck!;PlayerSpeak : Only some boring letters and recipes.;Node=>plage2;;[choix ferme normale];;;;;[choix ferme normale – poules];;;;;;
;LootMisc;Node=>choix;PlayerSpeak : Some scribbles say to go DIRECTIONTOFORMULA...;Node=>choix;;;SetChoices3;;;;;Narrator : A few chickens are roaming around a hen house, near the farm.;;;;;;
;Node=>choix;;Node=>ferme détruite;;;;Choice : (go back to the beach) (leave);Choice : (speak to young woman);Choice : (follow the path) (other);;;SetChoices4;;;;;;
;;;Node=>choix;;;;Fade;Fade;Fade;;;Choice : (go back to the beach) (leave);Choice : (go and see the farmer girl);Choice : (follow the path) (other);Choice : (go and see the chickens);;;
[plage2];;;;;;;HideOther;HideOther;HideOther;;;Fade;Fade;Fade;Fade;;;
SetBG(Island);;;;;;;Node=>debut;Node=>rencontre fermière;Node=>plage2;;;HideOther;HideOther;HideOther;HideOther;;;
CheckQuest=>plage vide;;;;;;;;;;;;Node=>debut;Node=>rencontre fermière;Node=>plage2;Node=>poules;;;
RandomPercent50;;;;;;;;;;;;;;;;;;
Node=>plage vide;Node=>plage pirates;;;;;;;;;;;;;;;;;
;;;;;;;[poules];;;;;;;;;;;
[plage vide];;;;;;;Narrator : CAPITAINE approaches the hen house.;Node=>poules cache;;;;;;;;;;
Narrator : The beach is empty, but the sails of a pirate ship can be seen in the distance.;;;;;;;SetChoices2;;;;;[poules cache];;;;;;
Narrator : It looks like they are heading DIRECTIONTOFORMULA.;;;;;;;Choice : Let’s return to the farmer girl. (leave);Choice : Let’s try and steal one! (dex);;;;PlayerSpeak : The hens ran away to hide when I approached...;;;;;;
[choix plage vide];;;;;;;Fade;Switch=>poules;RandomRange2;;;Fade;;;;;;
SetChoices2;;;[crab];;;;Node=>ferme normale;CheckStatDEX;PlayerSpeak : Argh!;PlayerSpeak : A-ha! Gotcha-;;Node=>ferme normale;;;;;;
Choice : (get back to the farm) (leave);Choice : (search the beach) (loot);;PlayerSpeak : Oh !;PlayerSpeak : The beach is straight up empty;;;;PlayerSpeak : Gotcha!;PlayerSpeak : It slipped away!;PlayerSpeak : Oh no wait, it's just feathers.;;PlayerSpeak : Doesn’t matter, the farmer girl didn’t see me.;;;;;;
Fade;RandomPercent25;;PlayerSpeak : Just a cute little crab;Node=>choix plage vide;;;;RemoveKarma;Node=>test ferme;AddToInventory<Plume>/Misc;;Node=>ferme normale;;;;;;
Node=>choix ferme;Node=>crab;PlayerSpeak : The beach is straight up empty;AddToInventory<Crabe>/Food;;;;;AddToInventory<Poulet>/Food;;AddToInventory<Plume>/Misc;;;;;;;;
;;Node=>choix plage vide;Switch=>crab;;;;;AddToInventory<Poulet>/Food;;AddToInventory<Plume>/Misc;;;;;;;;
;;;Node=>choix plage vide;;;;;AddToInventory<Poulet>/Food;;PlayerSpeak : Well, still better this than nothing I guess...;;;;;;;;
;;;;;;;;Node=>test ferme;;Node=>fermière mécontante;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;[test ferme];;;;;;;;;;;
;;;;;;;RandomRange2;;;;;;;;;;;
[plage pirates];;;;;;;Node=>fermière mécontante;PlayerSpeak : Looks like the farmer girl didn’t see us!;;;;;;;;;;
NewCrew;;;;;;;;Node=>ferme normale;;;;;;;;;;
Narrator : A group of pirates! They’re about to climb a rope ladder to their ship.;Node=>pirates morts;Node=>combat pirates;;;;;;;;;;;;;;;;
OtherSpeak : You’ll never get the treasure before us!;;;;;;;;;;;;;;;;;;
[discussion pirates];;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;[fermière mécontante];;;;;;;;;;;
Choice : I’m not looking for trouble! (cha);;Choice : You'll never see the treasure at all! (attack);Choice : You don't even know where the treasure is, do you? (cha);;;;OtherSpeak : What do you think you're doing?;;;;;;;;;;;
CheckStatCHA;;Node=>combat pirates;CheckStatCHA;;;;OtherSpeak : You’re gonna pay for this chicken right now!;;;;;;;;;;;
OtherSpeak : Then walk away!;OtherSpeak : Well you found some anyway!;;OtherSpeak : Of course we do! It's DIRECTIONTOFORMULA...;OtherSpeak : Do you really think we’re gonna tell you!;;;OtherSpeak : 50 gold rounds, no less.;;;;;;;;;;;
Fade;Node=>combat pirates;;OtherSpeak : ... Damn it, you got us! But we'll get it first anyway!;Node=>discussion pirates;;;SetChoices3;;;;;;;;;;;
HideOther;;;Node=>discussion pirates;;;;Choice : That’s out of the question (attack);Choice : Oh sorry, I didn’t know it was yours... (cha);;Choice : Here you are. (trade);;;;;;;;
Node=>choix ferme;;;;;;;OtherSpeak : You’ve got some nerve! ...;CheckStatCHA;;CheckGold50;;;;;;;;
;;;;;;;Node=>combat fermière;OtherSpeak : Oh...;OtherSpeak : Yeah, right!;RemoveGold50;OtherSpeak : You can't even pay for my chicken?;;;;;;;
;;;;;;;;OtherSpeak : Well… You look hungry, you can keep it.;OtherSpeak : How dumb do you think I am?;OtherSpeak : That’s better.;OtherSpeak : I've had enough of you!;;;;;;;
[combat pirates];;;;;;;;Node=>ferme normale;Node=>combat fermière;Node=>ferme normale;Node=>combat fermière;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;
Node=>pirates morts;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
