Nom histoire;Fréquence %;Sprite ID;Display Name;;;;;;;;;;;;;;;;
Jeu;0;0;Game;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
OtherSpeak : What’s you poison…;;;;;;;;;;;;;;;;;;;
OtherSpeak : Dice ?;;;;;;;;;;;;;;;;;;;
OtherSpeak : Or maybe a good old game of…;;;;;;;;;;;;;;;;;;;
OtherSpeak : Rock, paper, scissors ?;;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : Let’s roll dice.;Choice : Rock paper scissors, of course.;Choice : Neither (leave);;;;;;;;;;;;;;;;;
Node=>dés;Node=>shifumi;Leave;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[shifumi];;;;;;;;;;;;;;;;;;;
OtherSpeak: Great!;;;;;;;;[dés];;;;;;;;;;;
OtherSpeak : It’s simple, its only ONE HAND, and we both put 50 gold.;;;;;;;;OtherSpeak : Take a sit !;;;;;;;;;;;
OtherSpeak : Then you get mine if you win.;;;;;;;;OtherSpeak : Simple, you throw dice, and if you roll a six;;;;;;;;;;;
SetChoices2;;;;;;;;CheckIfFormulaIsland;;;;;;;;;;;
Choice : After careful consideration, Ill pass (leave);Choice : (gamble) (trade);;;;;;;OtherSpeak : You win your 100 gold !;OtherSpeak : You get your cherished information about NOMTRESOR ;;;;;;;;;;
Leave;CheckGold50;;;;;;;Node=>suite dés;Node=>suite dés;;;;;;;;;;
;RemoveGold50;OtherSpeak : I’m afraid you don’t have enouh gold, sonny!;;;;;;[suite dés];;;;;;;;;;;
;OtherSpeak : Alright, let’s go;Leave;;;;;;OtherSpeak : Remember : the more dice you decide to roll, the more chances you have to win...;;;;;;;;;;;
;Node=>shifumi1;;;;;;;OtherSpeak : but it's also more expensive to play!;;;;;;;;;;;
;;;;;;;;Node=>jeu dés;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
