Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;
Musiciens;0;1;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
NewCrew;;;;;[retour];;;;;;[trompette];;[guitare];;[luth];;[accordéon];;[flute]
Narrator : The musicians are akwardly standing there. They seem down.;Node=>retour;;;;Node=>instruments;Narrator : The whole room is dancing to the music. The tavern’s got its musical spirit back!;;;;;OtherSpeak : Tell me you found a trumpet!;Node=>guitare;OtherSpeak : So did you find a guitar?;Node=>luth;OtherSpeak : You’ve got a lute for us right?;Node=>accordéon;OtherSpeak : I hope you have found an accordion!;Node=>flute;OtherSpeak : The flute, do you have it now?
SetChoices2;;;;;;OtherSpeak : Here is our bandmaster! Look at that, everyone’s merrily dancing thanks to you!;;;;;OtherSpeak : Look at these people, they need some good music to cheer them up…;;OtherSpeak : Everyone looks so sad, we need music now!;;OtherSpeak : This place is so depressing without some good tunes.;;OtherSpeak : Hear that dead silence? That’s why we need music right now!;;OtherSpeak : No one’s dancing, this is so sad.
Choice : Everything alright, fellas?;Choice : (leave);;;;;Leave;;;;;Node=>check trompette;;Node=>check guitare;;Node=>check luth;;Node=>check accordéon;;Node=>check flute
OtherSpeak : This is bad...;Leave;;;;;;;;;;;;;;;;;;
OtherSpeak : We can’t play anything!;;;;;;;;;;;;;;;;;;;
Node=>instruments;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[instruments];;;;;;;;;;;;;;;;;;;
RandomRange5;;;;;;;;;;;;;;;;;;;
[trompette];[guitare];[luth];[accordéon];[flute];;;;;;;;;;;;;;;
OtherSpeak : Our trumpetist lost his instrument...;OtherSpeak : Somebody sat on our guitarist's instrument and it's broken beyond repair.;OtherSpeak : Somebody used the lute of our pal here to do indescribable things so he cannot use it again...;OtherSpeak : Some drunk geezer stole our accordion the other night and ran away with it.;OtherSpeak : Our flutist lost his instrument because someone mistook it for a... for something else. And now it's unusable.;;;;;;;;;;;;;;;
OtherSpeak : If you ever find a trumpet one day;OtherSpeak : If you find one by any chance during your travels,;OtherSpeak : If you ever find one during your journey, adventurer;OtherSpeak : If you find one by any chance;OtherSpeak : If you ever find a flute somewhere;;;;;;;;;;;;;;;
OtherSpeak : Bring it to us, so he can play his famous solo again!;OtherSpeak : Please bring it back here, we’re nothing without his chords!;OtherSpeak : Please bring it here, so he may charm the tavern with his beautiful melodies again.;OtherSpeak : Please bring it to us, we’re nothing without his old melodies;OtherSpeak : Bring it to us, we’re lost without his catchy little tunes;;;;;;;;;;;;;;;
OtherSpeak: I’ll pay you a drink!;OtherSpeak: I’ll buy you a drink!;OtherSpeak: I’ll buy you some drinks!;OtherSpeak: We’ll get you something to drink if you do!;OtherSpeak: I’ll buy you a drink if you do!;;;;;;;;;;;;;;;
Switch=>debut;Switch=>debut;Switch=>debut;Switch=>debut;Switch=>debut;;;;;;;;;;;;;;;
Node=>check trompette;Switch=>trompette;Switch=>trompette;Switch=>trompette;Switch=>trompette;;;;;;;;;;;;;;;
;Node=>check guitare;Switch=>guitare;Switch=>guitare;Switch=>guitare;;;;;;;;;;;;;;;
;;Node=>check luth;Switch=>luth;Switch=>luth;;;;;;;;;;;;;;;
;;;Node=>check accordéon;Switch=>accordéon;;;;;;;;;;;;;;;
;;;;Node=>check flute;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[check trompette];;;;[check guitare];;;;[check luth];;;;[check accordéon];;;;[check flute];;;
CheckInInventory<Trompette>/Misc;;;;CheckInInventory<Guitare>/Misc;;;;CheckInInventory<Luth>/Misc;;;;CheckInInventory<Accordéon>/Misc;;;;CheckInInventory<Flûte>/Misc;;;
SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;
Choice : (give trumpet);Choice : Don’t have any, sorry...;Choice : (give trumpet);Choice : I’ve got nothing, sorry.;Choice : (give guitar);Choice : I don’t have any, sorry...;Choice : (give guitar);Choice : I got nothing, sorry mate.;Choice : (give lute);Choice : I have nothing for you, sorry...;Choice : (give lute);Choice : Nothing, sorry.;Choice : (give accordion);Choice : I don’t have anything, sorry.;Choice : (give accordion);Choice : Sorry, nothing yet.;Choice : (give flute);Choice : I’ve got nothing, but I’ll look around.;Choice : (give flute);Choice : I don’t have anything, sorry...
RemoveFromInventory<Trompette>/Misc;OtherSpeak : Oh no, what are we going to do!;OtherSpeak : But you don’t have anything!;OtherSpeak : We’re doomed!;RemoveFromInventory<Guitare>/Misc;OtherSpeak : This is the end!;OtherSpeak : You don’t have any!;OtherSpeak : Someone help us, please!;RemoveFromInventory<Luth>/Misc;OtherSpeak : Don’t forget us, please!;OtherSpeak : But you don’t have any...;OtherSpeak : That’s it, we’re finished!;RemoveFromInventory<Accordéon>/Misc;OtherSpeak : Our band is finished!;OtherSpeak : You don’t have anything!;OtherSpeak : This is hopeless...;RemoveFromInventory<Flûte>/Misc;OtherSpeak : Don’t forget about us, please!;OtherSpeak : You’ve got nothing!;OtherSpeak : We just want to make people dance! Help us, please!
OtherSpeak : Thank you so much!;Leave;Leave;Leave;OtherSpeak : That’s perfect, thank you so much!;Leave;Leave;Leave;OtherSpeak : A fine instrument, thank you, that's perfect!;Leave;Leave;Leave;OtherSpeak : It’s a bit dirty but it’ll do just fine, thanks a lot!;Leave;Leave;Leave;OtherSpeak : It smells funny, but it’ll have to do, thanks!;Leave;Leave;Leave
OtherSpeak : Let me get you something to drink, my friend!;;;;OtherSpeak : Please, let me get you something to drink!;;;;OtherSpeak : Here, let me buy you a drink as thanks!;;;;OtherSpeak : Let me get you something to drink!;;;;OtherSpeak : Let’s have a drink, it’s on me!;;;
LootFood;;;;LootFood;;;;LootFood;;;;LootFood;;;;LootFood;;;
Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;
Leave;;;;Leave;;;;Leave;;;;Leave;;;;Leave;;;
