Nom;Fréquence %;Sprite ID;Display Name;;;;;
Poules;0;1;Chickens;;;;;
[poules];;;;;;;;
Narrator : As CAPITAINE gets closer to the hen house, the birds inside are getting more and more agitated.;Node=>plus de poules;;;;;;;
SetChoices2;;;;;;;;
Choice : Let’ s go back to the farmer. (leave);Choice : Let’s try to catch one! (dex);;;;;;;[plus de poules]
Fade;Switch=>poules;;;;;;;PlayerSpeak : Looks like all the chicken are hidding now
Leave;CheckStatDEX;;;;;;;PlayerSpeak : Because of me
;PlayerSpeak : Got ya!;RandomRange2;;;;;;Fade
;AddToInventory<Poulet>/Food;PlayerSpeak : Darn it...;PlayerSpeak : Got it!;;;;;Leave
;AddToInventory<Poulet>/Food;PlayerSpeak : Missed it completely...;PlayerSpeak : Heck, it escaped!;;;;;
;AddToInventory<Poulet>/Food;Node=>test ferme;AddToInventory<Plume>/Misc;;;;;
;Node=>test ferme;;AddToInventory<Plume>/Misc;;;;;
;;;AddToInventory<Plume>/Misc;;;;;
;;;PlayerSpeak : Well at least that’s something...;;;;;
[test ferme];;;Node=>test ferme;;;;;
RandomRange2;;;;;;;;
Node=>fermière mécontante;PlayerSpeak : Perfect, looks like the farmer didn’t see anything.;;;;;;;
;Leave;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fermière mécontante];;;;;;;;
Narrator : As CAPITAINE is running after one of the chickens, the farmer appears.;;;;;;[combat fermier];;
NewCrew1;;;;;;LaunchCombat;;
OtherSpeak : What the heck are you doing?!;;;;;;Leave;;
OtherSpeak : You’ll pay for that chicken right now!;;;;;;;;
OtherSpeak : 50 gold coins, you thief !;;;;;;;;
SetChoices3;;;;;;;;
Choice : Not gonna happen! (attack);Choice : Oh I'm so sorry, I really had no idea it was yours! (cha);;Choice : Alright, here’s your money... (trade);;;;;
OtherSpeak : I’ll cut your hands then !;CheckStatCHA;;CheckGold50;;;;;
Node=>combat fermier;OtherSpeak : Oh...;OtherSpeak : Oh but of course!;RemoveGold50;OtherSpeak : Wait you don’t even have enough money?!;;;;
;OtherSpeak : Well try to be careful next time! Now get lost!;OtherSpeak : You reeeally think I'm some kind of idiot, don’t you?;OtherSpeak : That’s more like it!;OtherSpeak : I am no fool if that’s what you think!;;;;
;Leave;Node=>combat fermier;Leave;Node=>combat fermier;;;;
