Nom histoire;Fréquence %;Sprite ID;Display Name;;;;;
Verger;3,39;1;Orchard;;;;;
Narrator : The tiny island is covered in grass. Trees, hedges and bushes are neatly aligned further in the island.;;;;;;;;
SetChoices2;;;;;;;;
Choice : (leave);Choice : (get down);;;;;;;
Leave;Node=>debut;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[debut];;;;;;;;
SetBG(Forest);;;;;;;;
RandomRange3;;;;;;;;
Narrator : A row of fruit trees is not far from CAPITAINE.;Narrator : CAPITAINE wanders into a small orchard.;Narrator : CAPITAINE is surrounded by a handful of fruit trees.;;;;;;
Node=>suite;Node=>suite;Node=>suite;;;;;;
[suite];;;;;;;;
CheckQuest=>switch verger;;;;;;;;
[switch verger];;;;;;;;
RandomRange2;;Node=>consequence;;;;;;
Node=>choix verger;Node=>choix verger – poules;;;;;;;
;;;;;;;;
[choix verger];;;;;;;;
SetChoices2;;;;;;;;
Choice : (leave);Choice : (harvest the fruits) (loot);;;;;[choix verger – poules];;
Node=>départ;Node=>vol pomme;;;;;Narrator : A small chicken house is nestled between bushes.;;
;;;;;;SetChoices3;;
[vol pomme];;;;;;Choice : (leave);Choice : (harvest the fruits) (loot);Choice : Let’s go see the hens.
RandomRange4;;;;;;Node=>départ;Node=>vol pomme;ChangeStory=>Poules[poules/choix verger – poules]
PlayerSpeak : Some sweet, crispy apples!;PlayerSpeak : Tangy oranges!;PlayerSpeak : Some juicy apricots and ripe apricots!;PlayerSpeak : Looks like animals ate everything;;;;;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;Node=>choix verger;;;;;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;;;[départ];;;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;;;RandomRange2;;;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;;;Leave;Node=>rencontre;;
Switch=>switch verger;Switch=>switch verger;Switch=>switch verger;;;;;;
Node=>consequence;Node=>consequence;Node=>consequence;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;[rencontre];;;;;;;
;NewCrew1;;;;;;;
;OtherSpeak : HEY!;Node=>fermier mort;Node=>combat fermier;;;;;
;[recipe];;;;;;;
;[tarte aux pommes];Node=>livre;;;;;;
;OtherSpeak : I saw you wandering around my apple trees.;Node=>donne tarte;;;;;;
;OtherSpeak : I bet you’re a good person, anyone else would’ve stolen some fruits, they all do.;;;;;;;
;SetChoices3;;;;;;;
;Choice : I just try to do the right thing.;Choice : (attack);Choice : Still, sir, I’m starving... (cha);;;;;
;OtherSpeak : And what’s your name, friend?;Node=>combat fermier;CheckStatCHA;;;[donne tarte];;
;SetChoices2;;OtherSpeak : Nothing I can do mate, sorry.;OtherSpeak : Take this!;;OtherSpeak : There you are!;OtherSpeak : Forgive me...;
;Choice : (say your name);Choice : I’m nobody (leave);Leave;LootFood;;OtherSpeak : The pie is ready!;OtherSpeak : It looks like I don’t have any fruits anymore.;
;PlayerSpeak : CAPITAINE;OtherSpeak : Someone’s not in the mood to talk…;;OtherSpeak : I’ve been there too, nobody deserves to starve.;;AddToInventory<Tarte aux pommes>/Food;OtherSpeak : See you later!;
;OtherSpeak : Well CAPITAINE,;OtherSpeak : Sail safe, partner !;;Leave;;OtherSpeak : I made a bit too much, but you can keep it!;Leave;
;[livre];Leave;;;;OtherSpeak : Bon appétit!;;
;AddKarma;OtherSpeak : You did good…;;;;Switch=>donne tarte;;
;OtherSpeak : You did good…;Leave;;;;Leave;;
;Switch=>livre;;;;;;;
;Leave;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[consequence];;;;;;;;
Narrator : The trees are now empty of fruit;;;;;;;;
RandomRange2;;;;;;;;
Node=>fermier;[choix consequence];;;;;;;
;SetChoices2;;;;;;;
;Choice : (leave);Choice : (wander around the island);;;;;;
;PlayerSpeak : Let’s bail before someone sees us!;PlayerSpeak : Nothing much to see anymore...;;;;;;
;Leave;Node=>choix consequence;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fermier];;;;;;;;
NewCrew1;;;;;;;;
OtherSpeak : STOP, THIEF!;Node=>fermier mort;OtherSpeak : There’s that THIEF back here!;;;;;;
SetChoices3;;Node=>combat fermier;;;;;;
Choice : I didn’t do anything !(cha);Choice : (attack);Choice : What are you gonna do?;;;;;;
CheckStatCHA;Node=>combat fermier;RandomRange2;;;;;;
OtherSpeak : Oh it was probably one of these wolves.;Node=>failcha;OtherSpeak : I’ll take my apples back.;Node=>marchandage;;;;;
OtherSpeak : But get out of my yard, now!;;[combat fermier];;;;;;
SetChoices2;;LaunchCombat;;;;;;
Choice : (leave);Choice : (attack);[fermier mort];;;;;;
Leave;Node=>combat fermier;RandomRange2;;;;;;
;;Narrator : The farmer is collapsed on the ground.;Narrator : The farmer died… CAPITAINE sees his farm not far from here.;;;;;
[failcha];;Node=>choix consequence;[choix mort fermier];;;;;
OtherSpeak : Keep talking, you stinking thief!;;;SetChoices2;;;;;
RemoveKarma;;;Choice : (leave);Choice : Let’s check around the farm.;;;;
Node=>combat fermier;;;Leave;ChangeStory=>Manoir[debut/choix mort fermier];;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[marchandage];;;;;;;;
OtherSpeak : Pay for these apples!;;;;;;;;
OtherSpeak : 15 gold coins and I’ll let it slide.;;;;;;;;
SetChoices2;;;;;;;;
Choice : OK;;;;Choice : NO WAY! (attack);;;;
CheckGold15;;;;OtherSpeak : Then pay with your blood!;;;;
RemoveGold15;OtherSpeak : You don’t even have enough...;;;RemoveKarma;;;;
OtherSpeak : That’s more like it!;RandomRange2;;;Node=>combat fermier;;;;
AddKarma;OtherSpeak : Get out of my sight, you rat.;;OtherSpeak : You’ll regret this decision, criminal!;;;;;
Leave;SetChoices2;;RemoveKarma;;;;;
;Choice : (leave);Choice : (attack);Node=>combat fermier;;;;;
;Leave;RemoveKarma;;;;;;
;;Node=>combat fermier;;;;;;
