Nom;Fréquence %;Sprite ID;;;;;;;;;
Village;5,08;2;;;;;;;;;
[debut];;;;;;;;;;;
Narrator : After maneuvering between a handful of fishing boats, NOMBATEAU docks in a little port. The air smells strongly of fish.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : (set sails) (leave);Choice : (enter the fishing village);;;;;;;;;;
PlayerSpeak : It stinks here! Let's leave.;Fade;;;;;;;;;;
Leave;Node=>place du village;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[place du village];;;;;;;;;;;
SetBG(Village);;;;;;;;;;;
CheckDay;;;;;;;;;;;
Narrator : The village is humble sized, but the town square is still wonderfully lively. It must be a hub that a few small islands around come to to buy fish.;Narrator : At night, the plaza is empty. The inside of a few houses here and there are still lit.;;;;;;;;;;
CheckQuest=>random village;CheckQuest=>random village;;;;;;;;;;
Node=>random village;Node=>random village;;;;;;;;;;
;;;;;;;;;;;
[random village];;;;;;;;;;;
SetBG(Village);;;;;;;;;;;
RandomRange3;;;;;;;;;;;
Node=>un chemin;Node=>deux chemins;Node=>trois chemins;;;;;;;;;
;;;;;;;;;;;
[un chemin];;;;;;;;;;;
RandomRange2;;;;;;;;;;;
Narrator : Between two buildings, giving into the plaza is a narrow, dark alley. It looks like it's a dead end.;;Narrator : Not too far from the port, a big street leads further into the village;;;;;;;;;
SetChoices2;;SetChoices2;;;;;;;;;
Choice : (go back) (leave);Choice : (go into the dead end);Choice : (go back) (leave);Choice : (follow the big road);;;;;;;;
Fade;Fade;Fade;Fade;;;;;;;;
Node=>debut;Node=>random village 1;Node=>debut;Node=>random village 1;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[deux chemins];;;;;;;;;;;
Narrator : A the crew progresses on an alley that comes from the Town square, a smaller one branches off of it, leading deeper into the village.;;;;;;;;;;;
SetChoices3;;;;;;;;;;;
Choice : (leave);Choice : (keep to the alley);Choice : (go deeper in the village);;;;;;;;;
Fade;Fade;Fade;;;;;;;;;
Node=>debut;Node=>random village 1;Node=>random village 2;;;;;;;;;
;;;;;;;;;;;
[trois chemins];;;;;;;;;;;
Narrator : On the shore, a path leads to a handful of shacks. From the town square, an alley leads further into the village, another behind some scattering bushes.;;;;;;;;;;;
SetChoices4;;;;;;;;;;;
Choice : (leave);Choice : (take the seashore path);Choice : (go further in the village);Choice : (follow the alley behind the bushes);;;;;;;;
Fade;Fade;Fade;Fade;;;;;;;;
Node=>debut;Node=>random village 1;Node=>random village 2;Node=>random village 3;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[random village 1];;;;;;;;;;;
RandomRange12;;;;;;;;;;;
Node=>puit;Node=>poissoniers;Node=>bandits;Node=>devant taverne;Node=>boutique;Node=>hangar;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : At the end of the street, a small path leads to a massive old house.;Narrator : The street ends on another plaza. This village is definitely bigger than it seems...
