Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Armes;1,69;1;;;;;;;;;;;
Narrator : L'île est petite, plate et verte. ;;;;;;;;;;;;;
CheckQuest=>debut;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;
Narrator : Sur la plage un panneau indique une direction : « Vendeur d'armes tout genre »;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : (partir);Choice : (suivre panneau);;;;;;;;;;;;
Leave;Fade;;;;;;;;;;;;
;Node=>marchand;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[marchand];;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;
OtherSpeak : Salut voyageur !;Node=>mort;Node=>combat;;;;;;;;;;;
[choix];;;;;;[choix autre];;;;;;[combat];
SetChoices4;;;;;;SetChoices3;;;;;;OtherSpeak : ?!?;
Choice : (partir);Choice : Montrez moi votre marchandise(trade);Choice : Le trésor de NOMTRESOR ?;;Choice : (autre);;Choice : Cambriolage ! (attaquer);Choice : Tout va bien pour vous ?(quete);;;Choice : (autre);;LaunchCombat;
OtherSpeak : Au revoir !;TradeWeapons;RandomPercent20;;Node=>choix autre;;Node=>combat;RandomPercent65;;;Node=>choix;;RemoveKarma;
Leave;Node=>choix;OtherSpeak : Ça n'intéresse que les pirates DIRECTIONTOFORMULA;OtherSpeak : Ça ne me dit rien.;;;;OtherSpeak : La conscience vous voulez dire ? ;NewQuest=>choix;;;;[mort];
;;Node=>choix;Node=>choix;;;;OtherSpeak : J'ai pas eu la chance de voir ce que les gens faisaient de mes armes.;;;;;PlayerSpeak : Le voilà mort !;
;;;;;;;OtherSpeak : Donc oui.;;;;;SetChoices2;
;;;;;;;Node=>choix;;;;;Choice : (partir);Choice : (fouiller l’armurerie)
;;;;;;;;;;;;Leave;LootWeapons
;;;;;;;;;;;;;Leave
