Nom;Fréquence %;Sprite ID;;
Bandits;5,08;0;;
[debut];;;;
Narrator : L'équipage accoste sur une petite île.;;;;
[arrivée bandits];;;;
NewCrew;;;;
Narrator : Quelques hommes s'avancent;Node=>bandits morts;OtherSpeak : Alors ? Tu nous as oubliés ?;;
OtherSpeak : Oyé !;;Node=>payed ?;;
PlayerSpeak : Ahoi !;;;;
Node=>payed ?;;;;
;;;;
[payed ?];;;;
Node=>chantage;Node=>a payé;;;
;;;;
;;;;
[chantage];;;;
OtherSpeak : C'est simple : le tiers de ton or ou c'est fini !;;;;
SetChoices3;;;;
Choice : Tenez…(trade);;Choice : Plutôt mourir !(attaquer);Choice : J'ai pas assez d'argent!(cha);
Switch=>payed ?;;LaunchCombat;CheckStatCHA;
CheckGoldTHIRD;OtherSpeak : Vous vous foutez de moi ?;Node=>bandits morts;OtherSpeak : Tu me rappelles moi à ton âge.;OtherSpeak : On me la fait pas celle là.
RemoveGoldTHIRD;OtherSpeak : Déglingez les, les gars !;;OtherSpeak : On est tous dans la mouise !;LaunchCombat
OtherSpeak : C'est très bien ça…;LaunchCombat;;OtherSpeak : Bonne chance.;Node=>bandits morts
OtherSpeak : A la prochaine;Node=>bandits morts;;Leave;
Leave;;;;
;;;;
[a payé];;;;
OtherSpeak : Qu'est-ce que tu fais là toi ?;;;;
OtherSpeak : Tu veux qu'on te prenne plus d'argent ?;;;;
[choix payé];;;;
SetChoices4;;;;
Choice : (partir);Choice : (se battre)(attaquer);Choice : (regarder l'île);Choice : Je peux faire quelque chose pour vous ?(quete);
Leave;LaunchCombat;Node=>ile vide;RandomPercent65;
;Node=>bandits morts;;OtherSpeak : Non, rien du tout;NewQuest=>choix payé
;;;OtherSpeak : Dégages;
;;;Node=>choix payé;
;;;;
[bandits morts];;;;
Narrator : Le sol est jonché de corps de bandits;;;;
[ile vide];;;;
SetChoices3;;;;
Choice : (partir);Choice : (rester pour la nuit)(dormir);Choice : (fouiller les environs);;
Leave;ChangeTimeOfDay;PlayerSpeak : Il y a pas grands choses.;;
;Node=>bandits morts;CheckQuest=>ile vide;;
;;Node=>ile vide;;
