Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Bois;8,47;0;;;;;;;;;;;
Narrator : L'île est petite et boisée.;;;;;;;;;;;;;
CheckQuest=>milieu foret;;;;;;;;;;;;;
Node=>milieu foret;;;;;;;;;;;;;
;;;;;;;;;;;;;
[milieu foret];;;;;;;;;;;;;
CheckDay;;;[bois nuit];;;;;;;;;;
Fade;;;Narrator : Il fait bien trop sombre pour pouvoir faire un pas de plus. C’est la nuit, après tout.;;;;;;;;;;
Node=>suite foret;Fade;;SetChoices2;;;;;;;;;;
;Node=>bois nuit;;Choice : (sortir lampe torche);;Choice : (partir);;;;;;;;
[suite foret];;;CheckInInventory<Lanterne>/Misc;;Leave;;;;;;;;
RandomRange2;;;PlayerSpeak : On y voit nettement mieux !;PlayerSpeak : Je n’en ai aucune !;;;;;;;;;
Node=>arbre;Node=>random foret;;Node=>suite foret;Leave;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[arbre];;;[monter sur arbre];;;;;;;;;;
Narrator : Un arbre particulièrement grand se dresse au milieu du bois.;;;RandomRange2;;;;;;;;;;
SetChoices3;;;Fade;Narrator : L'abre est bien trop glissant pour y monter normalement. CAPITAINE va falloir escalader;;;;;;;;;
Choice : Regardons le reste de la forêt !;Choice : (grimper sur arbre);Choice : (partir de l'île)(partir);Node=>haut arbre;SetChoices2;;;;;;;;;
Node=>random foret;Node=>monter sur arbre;Leave;;Choice : Tant pis;Choice : (escalader)(dex);;;;;;;;
;;;;Node=>arbre;CheckStatDEX;;;;;;;;
;;;;;Fade;Narrator : En essayant de monter, CAPITAINE tombe en arrière.;;;;;;;
[haut arbre];;;;;PlayerSpeak : Fouh... J'y suis.;[mal];;;;;;;
PlayerSpeak : Wow !;;;;;Node=>haut arbre;PlayerSpeak : Aie !;PlayerSpeak : Aie !;;;;;;
PlayerSpeak : La vue est impressionante.;;;;;;RemoveHealth10;Fade;;;;;;
[choix haut arbre];;;;;;Fade;Switch=>mal;;;;;;
SetChoices3;;;;;;Switch=>mal;Node=>arbre;;;;;;
Choice : On redescend !;Choice : (regarder l'horizon);Choice : (observer avec longue vue);;;;Node=>arbre;;;;;;;
Fade;PlayerSpeak : On voit pas grand chose.;CheckInInventory<Longue vue>/Misc;;;;;;;;;;;
Node=>random foret;Node=>choix haut arbre;Fade;PlayerSpeak : Je n'ai pas de Longue vue...;;;;;;;;;;
;;ObserveHorizon;Node=>choix haut arbre;;;;;;;;;;
;;PlayerSpeak : On y voilà nettement plus clair.;;;;;;;;;;;
;;Node=>choix haut arbre;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[random foret];;;;;;;;;;;;;
RandomRange4;;;;;;;;;;;;;
Node=>milieu foret 1;Node=>milieu foret 2;Node=>milieu foret 3;Node=>milieu foret rien;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[milieu foret 1];;;[milieu foret 2];;;;[milieu foret 3];;;;;[milieu foret rien];
CheckDay;;;CheckDay;;;;CheckDay;;;;;CheckDay;
Narrator : Le soleil descend à travers les branches de ce petit bois d'érable. Seul un petit chemin s'ouvre en face de CAPITAINE. La végétation est trop dense pour aller ailleurs.;Narrator : La nuit est douce et claire au milieu de ce petit bois d'érable. Seul un petit chemin s'ouvre en face de CAPITAINE. La végétation est trop dense pour aller ailleurs.;;Narrator : Une magnifique clairière s'ouvre devant CAPITAINE. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;Narrator : La lune enveloppe une magnifique clairière. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;;;Narrator : D'immenses sapins montent jusqu'au ciel bleu, bien au dessus des têtes de l'équipage. CAPITAINE est au carrefour de quatre chemins. ;Narrator : La lune enveloppe une magnifique clairière. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;;;;Narrator : Le bois est encore plus minuscule qu'il n'y paraissait. CAPITAINE voit la plage de l'autre côté. L'herbe est fraîche et ensoleillée.;Narrator : La la lune recouvre la petite île entièrement. La nuit est douce mais il n'y a rien à faire ici.
Node=>choix1;Node=>choix1;;Node=>choix2;Node=>choix2;;;Node=>choix3;Node=>choix3;;;;Node=>choix4;Node=>choix4
;;;;;;;;;;;;;
[choix1];;;[choix2];;;;[choix3];;;;;[choix4];
SetChoices2;;;SetChoices3;;;;SetChoices4;;;;;SetChoices2;
Choice : (partir de l'île)(partir);Choice : (suivre chemin);;Choice : (partir de l'île)(partir);Choice : (chemin de gauche);Choice : (suivre ruisseau);;Choice : (partir de l'île)(partir);Choice : (ouest);Choice : (nord);Choice : (est);;Choice : (partir de l'île)(partir);Choice : (dormir)
Leave;Node=>random-est;;Leave;Node=>random-ouest;Node=>random-est;;Leave;Node=>random-ouest;Node=>random-nord;Node=>random-est;;Leave;ChangeTimeOfDay
;;;;;;;;;;;;;Node=>choix4
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[random-est];;;;;;;;;;;;;
RandomRange10;;;;;;;;;;;;;
Narrator : Le bois s'arrête ici, CAPITAINE tombe nez à nez à la plage.;Narrator : Sur le chemin une fumée succulente flotte dans l'herbe. Une pancarte indique « Venez manger et boire »;Narrator : Des rires gras et des bruits de métal résonnent. Ça ne dit rien qui vaille.;Narrator : L'air sent la sciure et le fer. CAPITAINE s'approche évidemment d'un hangar.;Narrator : CAPITAINE tombe sur une grande plage de sable. Derrière les dunes un petit navire s'est échoué sur des rochers;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;Narrator : Un petit chemin mène CAPITAINE et son équipage vers une petite crique.;ChangeStory=>Manoir[debut/milieu foret];ChangeStory=>Verger[debut/milieu foret];;;;
