Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;;
Caserne;3,39;2;;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;;
Narrator : Une odeur d'acier résonne dans l'air.;;;;;;;;;;;;;;;;;;;;
CheckQuest=>choix debut;;;;;;;;;;;;;;;;;;;;
Narrator : C'est une caserne militaire. la porte est gardée par un garde.;;;;;;;;;;;;;;;;;;;;
[choix debut];;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;;
Choice : Reprendre le large(partir);Choice : Accoster;;;;;;;;;;;;;;;;;;;
PlayerSpeak : Osef !;Node=>entrée caserne;;;;;;;;;;;;;;;;;;;
Leave;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[entrée caserne];;;;;;;;;;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Eh là ! Manant !;Narrator : Un soldat gardait la porte. Il est mort.;;OtherSpeak : Vous osez remettre les pieds ici ?;;[conversation entrée];;;;;;;;;;;;;;;
Node=>conversation entrée;SetChoices2;;Node=>combat garde;;CheckKarma;;;;;;;;;;;;;;;
;Choice : (partir);Choice : (entrer);;;OtherSpeak : Dites donc ! Vous seriez pas CAPITAINE ?;OtherSpeak : Qu'est-ce que je peux faire pour vous ?;OtherSpeak : Dites, donc, vous avez pas l'air très commode.;OtherSpeak : Nom de bleu !;;;;;;;;;;;;
;Leave;Node=>caserne vide;;;OtherSpeak : Le chef doit vouloir vous rencontrer.;Node=>choix garde;OtherSpeak : Le genre à détrousser des ptites vielles.;OtherSpeak : Votre tête est sur tous les avis de recherches !;;;;;;;;;;;;
;;;;;OtherSpeak : Entrez, il peut vous aider.;;OtherSpeak : Qu'est-ce que tu veux ?;OtherSpeak : Vous vous pointez comme ça ?;;;;;;;;;;;;
;;;;;Switch=>demande chef;;Node=>choix garde;OtherSpeak : Je vous emmène voir le chef.;;;;;;;;;;;;
[choix garde];;;;;Switch=>demande entrée;;;SetChoices2;;;;;;;;;;;;
SetChoices3;;;;;Fade;;;Choice : Me touche pas(attaquer);Choice : OK.;;;;;;;;;;;
Choice : Nan rien !(partir);Choice : Je peux rentrer ?;;Choice : (attaquer);;Node=>choix garde;;;OtherSpeak : Tu l'aura voulu.;HideOther;;;;;;;;;;;
OtherSpeak : A la prochaine !;[demande entrée];;Node=>combat garde;;;;;RemoveKarma;Switch=>chef mauvais karma;;;;;;;;;;;
Leave;Node=>rentrer?;OtherSpeak : Entre !;;;;;;Node=>combat garde;Fade;;;;;;;;;;;
;;Fade;;;;;;;Node=>chef caserne;;;;;;;;;;;
;;Node=>caserne;;;;;;;;;;;;;;;;;;
[rentrer?];;;;;;;;;;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Eh bien tu peux aller te faire voir…;OtherSpeak : Entre !;OtherSpeak : Pas sans nous rendre un petit service;;;;;;;;;;;;;;;;;;
Node=>pas rentrer;Fade;NewQuest=>choix garde,fin quete;;;;;;;;;;;;;;;;;;
;Node=>caserne;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[pas rentrer];;;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;[fin quete];;;;;;;;;;;;;
Choice : Pas de problèmes !(partir);Choice : (attaquer);Choice : (charmer)(cha);;;;;OtherSpeak : Rentrez quand vous voulez !;;;;;;;;;;;;;
OtherSpeak : Ouais c'est ça !;RemoveKarma;CheckStatCHA;;;;;Switch=>demande entrée;;;;;;;;;;;;;
