Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;
Casino;3,39;1;;;;;;;;;;;;;;;[cest daccord]
Narrator : L'île est assez grande. Une musique émane de derrière des dunes de sable. Un chemin y mène.;;;;;;;;;;;;;;;;;OtherSpeak : Ah c'est vous.
[debut];;;;;;;;;;;;;;;;;OtherSpeak : Bienvenue
SetChoices2;;;;;;;;;;;;;[jeu de carte];;;;Node=>entrée casino
Choice : (lever l'ancre)(partir);Choice : (suivre le chemin);;[garde];;;;;;;;;;CheckInInventory<Jeu de carte>/Misc;Node=>cest daccord;;;
PlayerSpeak : On s'en va !;Fade;;Narrator : Un videur se tient devant une vielle porte en bois. Il s'approche de vous.;;;;;;;;;;SetChoices2;;SetChoices2;;
Leave;CheckQuest=>entrée casino;;NewCrew1/M;;;;;;;;;;Choice : J'en ai pas !;Choice : (donner jeu de carte);Choice : J'en ai pas !;Choice : (donner jeu de carte);
;RandomRange2;;OtherSpeak : Pour rentrer, il faut présenter un jeu de carte.;;;;;;;;;;OtherSpeak : Tanpis alors...;Switch=>jeu de carte;OtherSpeak : Tanpis alors...;OtherSpeak : Vous n’avez rien à me donner;
;Node=>entrée casino;Node=>garde;OtherSpeak : C'est la règle;;;;;;;;;;Leave;OtherSpeak : Ok vous êtes bons.;Leave;Leave;
;;;Node=>jeu de carte;;;;;;;;;;;[cest daccord];;;
;;;;;;;;;;;;;;OtherSpeak : Bienvenue.;;;
[entrée casino];;;;;;;;;;;;;;Node=>entrée casino;;;
RandomRange4;;;;;;;;;;;;;;;;;
Node=>casino 1;Node=>casino 2;Node=>casino 3;Node=>casino 4;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
[casino 1];;;[casino 2];;;;[casino 3];;;[casino 4];;;;;;;
Narrator : CAPITAINE pénetre une vielle grange bondée de marins. Tous font des parties de carte endiablées au son de queqlues musiciens.;;;Narrator : CAPITAINE ouvre les portes d'un bar miteux. Quelques joueurs parient leurs derniers sous. Derrière un comptoir, un serveur nettoie des chopes de bois.;;;;Narrator : Dans une sombre et étroite salle, CAPITAINE se tient devant une table encerclée par quelques hommes soucieux.;;;Narrator : CAPITAINE pénetre une vielle grange bondée de marins.;;;;;;;
SetChoices2;;;SetChoices3;;;;SetChoices2;;;Narrator : Quelques musiciens sont regroupés au fond la salle;;;;;;;
Choice : (sortir);Choice : (aller voir les joueurs);;Choice : (sortir);Choice : (aller voir les joueurs);Choice : (aller vers le comptoir);;Choice : (sortir);Choice : (aller vers les homme);;SetChoices3;;;;;;;
Fade;Fade;;Fade;Fade;Fade;;Fade;Fade;;Choice : (sortir);Choice : (aller voir les joueurs);Choice : (aller voir les musiciens);;;;;
Leave;Node=>joueurs;;Leave;Node=>joueurs;Node=>comptoir;;Leave;Node=>hommes;;Fade;Fade;Fade;;;;;
;;;;;;;;;;Leave;Node=>joueurs;ChangeStory=>Musiciens[debut/casino 4];;;;;
;;;;;;;;;;;;;;;;;
[joueurs];;;;;;;;;;;;;;;;;
NewCrew4;;;;;;;;;;;;;;;;;
Narrator : CAPITAINE s'approchent des joueurs...;Node=>salleVide;Node=>combatSalle;;;;;;;;;;;;;;;
SetChoices3;;;;;;[hommes];;;;;[hommes contents];;;;;;
Choice : (attaquer tout le monde)(attaquer);Choice : Je peux jouer ?!;Choice : (sortir);;;;Narrator : Alors que CAPITAINE s'approche, les hommes l'interpelent !;Node=>hommes contents;;;;OtherSpeak : Ah !;;;;;;
OtherSpeak : Qu'est-ce qu'il veut celui là ?!;Node=>jeu;Fade;;;;NewCrew;;;;;OtherSpeak : Revoilà notre sauveur;;;;;;
RemoveKarma;;Leave;;;;OtherSpeak : Héla manant !;Node=>salleVide;Node=>combatSalle;;;Node=>jeu;;;;;;
Node=>combatSalle;;;;;;OtherSpeak : Tu nous fillerai pas un coup de main ?;;;;;;;;;;;
;;;;;;SetChoices2;;;;;;;;;;;
[combatSalle];;;;;;Choice : Je vous écoute;Choice : Plus tard peut être...;;;;;;;;;;
LaunchCombat;;;;;;OtherSpeak : Un clébard a bouffé notre jeu de carte.;OtherSpeak : Hé...;;;;;;;;;;
Node=>salleVide;;;;;;OtherSpeak : Plus moyen de jouer une partie.;Leave;;;;;;;;;;
;;;;;;OtherSpeak : T'en as pas un à nous donner par hasard ?;;;;;;;;;;;
;;;;;;CheckInInventory<Jeu de carte>/Misc;;;;;;;;;;;
[salleVide];;;;;;SetChoices3;;;;SetChoices2;;;;;;;
Narrator : La salle est vide. Le serveur et les musiciens se sont enfuit pendant le combat.;;;;;;Choice : (donner jeu de carte);Choice : J'en ai pas je suis navré;Choice : Je vais le garder pour moi les mecs...;;Choice : Désolé les potos, j'en ai pas.;Choice : Je vais le garder pour moi les mecs...;;;;;;
SetChoices3;;;;;;RemoveFromInventory<Jeu de carte>/Misc;[cest rien];RandomRange2;;Node=>cest rien;RandomRange2;;;;;;
Choice : (revenir au bateau)(partir);Choice : (fouiller la salle)(loot);Choice : (fouiller comptoir)(loot);;;;Switch=>hommes;OtherSpeak : C'est rien vas.;Node=>cest rien;OtherSpeak : Bah écoute on va doucement te le prendre alors.;;Node=>cest rien;OtherSpeak : Bah écoute on va doucement te le prendre alors.;;;;;
Fade;Narrator : Il n'y a pas grands choses, a part le jeu de carte posé sur l'une des tables.;RandomPercent30;;;;OtherSpeak : Merci copain !;OtherSpeak : Mais si tu en trouves un tu sais à qui parler.;;Node=>combatSalle;;;Node=>combatSalle;;;;;
Node=>debut;AddToInventory<Jeu de carte>/Misc;PlayerSpeak : Bingo !;PlayerSpeak : Rien du tout…;;;OtherSpeak : Joue avec nous tiens !;Leave;;;;;;;;;;
;Node=>salleVide;LootFood;Node=>salleVide;;;OtherSpeak : Je te donne de quoi commencer !;;;;;;;;;;;
;;Node=>salleVide;;;;AddGold100;;;;;;;;;;;
;;;;;;SetChoices2;Choice : Ça ira pour cette fois.;;;;;;;;;;
