Nom;Fréquence %;Sprite ID;;;;;;;;;;;;
Epave;8,47;3;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;;;
Node=>épave sans mat;Node=>épave avec mat;Node=>épave corde;;;;;;;;;;;;
;;;;;;;;;;;;;;
[épave sans mat];;;;[épave avec mat];;;;;;;;;;
Narrator : L'île est minuscule. Un petit bâteau s'est échoué sur les rocher qui l'entoure.;;;;Narrator : Un petit bâteau s'est échoué sur les rochers près du NOMBATEAU;;;;;;;;;;
CheckQuest=>choix1;;;;Narrator : Le mât du bateau, en revanche, est en parfait état.;;;;;;;;;;
[choix1];;;;[choix2];;;;;;;;;;
SetChoices3;;;;SetChoices4;;;;;;;;;;
Choice : (partir);Choice : (fouiller l'épave)(loot);Choice : (passer la nuit ici)(dormir);;Choice : (partir);Choice : (fouiller l'épave)(loot);Choice : (passer la nuit ici)(dormir);Choice : (monter le mat);;;;;;;
PlayerSpeak : Tayo !;Fade;Narrator : Le bateau est trop petit pour pouvoir y dormir;;PlayerSpeak : Tayo !;Fade;Narrator : Le bateau est trop petit pour pouvoir y dormir;RandomRange2;;;;;;;
Leave;Node=>épave;Node=>choix1;;Leave;Node=>épave;Node=>choix2;Fade;Narrator : Le mat est bien trop glissant pour y monter normalement. CAPITAINE va falloir escalader;;;;;;
;;;;;;;Node=>haut mât;SetChoices2;;;;;;
;;;;;;;;Choice : (retourner sur l'épave);Choice : (escalader)(dex);;;;;
[épave];;;;;;;;Fade;CheckStatDEX;;;;;
RandomRange2;;;;;;;;Node=>choix2;Fade;Narrator : En essayant de monter, CAPITAINE tombe en arrière.;;;;
Narrator : La cale du bateau est obscure. Impossible d’y voir plus loin que ses pieds.;Node=>suite épave;;;;;;;;PlayerSpeak : Fouh... J'y suis.;[mal];;;;
SetChoices2;;;;;;;;;Node=>haut mât;;;;;
Choice : (sortir lampe torche);;Choice : (partir);;;;;;;;RemoveHealth10;Fade;;;
CheckInInventory<Lanterne>/Misc;;Leave;;;;;;;;;;;;
PlayerSpeak : On y voit nettement mieux !;PlayerSpeak : Malheureusement, je n’en ai pas !;;;;;;;;;Fade;Switch=>mal;;;
RandomRange2;Leave;;;;;;;;;Switch=>mal;Node=>choix2;;;
PlayerSpeak : Voyons voir ce que cette épave cache.;Node=>porte;;;;;;;;;Node=>choix2;;;;
Node=>suite épave;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
