Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Epicier;1,69;1;;;;;;;;;;;
Narrator : L'île est assez vaste, mais vous en voyez le bout. Elle est couverte de champs de blé.;;;;;;;;;;;;;
CheckQuest=>debut;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;
Narrator : Sur la plage un panneau indique une direction : « A boire et à manger »;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : (partir);Choice : (suivre panneau);;;;;;;;;;;;
Leave;Fade;;;;;;;;;;;;
;Node=>marchand;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[marchand];;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;
OtherSpeak : Salut voyageur !;Node=>mort;Node=>combat;;;;;;;;;;;
[choix];;;;;;[choix autre];;;;;;[combat];
SetChoices4;;;;;;SetChoices3;;;;;;OtherSpeak : ?!?;
Choice : (partir);Choice : Montrez moi votre marchandise(trade);Choice : Le trésor de NOMTRESOR ?;;Choice : (autre);;Choice : Aboule la bouffe ! (attaquer) ;Choice : Tout va bien pour vous ?(quete);;;Choice : (autre);;LaunchCombat;
OtherSpeak : Au revoir !;TradeFood;RandomPercent20;;Node=>choix autre;;Node=>combat;RandomPercent65;;;Node=>choix;;RemoveKarma;
Leave;Node=>choix;OtherSpeak : Ça n'intéresse que les pirates DIRECTIONTOFORMULA;OtherSpeak : Ça ne me dit rien.;;;;OtherSpeak : Plus gros est le rire, plus gros est le ventre.;NewQuest=>choix;;;;[mort];
;;Node=>choix;Node=>choix;;;;OtherSpeak : Comme on dit dans le milieu;;;;;PlayerSpeak : Le voilà mort !;
;;;;;;;Node=>choix;;;;;SetChoices2;
;;;;;;;;;;;;Choice : (partir);Choice : (fouiller la ferme)
;;;;;;;;;;;;Leave;LootFood
;;;;;;;;;;;;;Leave
