Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;
Ferme;5,08;1;;;;;;;;;;;;;;;;
Narrator : La plage directement sur une terre verte et humide. Derrière des champs de tournesols se tient une petite ferme.;;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : Lever l'ancre(partir);Choice : Vers la ferme;;;;;;;;;;;;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;;;;;;;;;;;;
Leave;[choix ferme];;;;;;;;;;;;;;;;;
;RandomRange2;;;;;;;;;;;;;;;;;
;Node=>ferme détruite;Node=>ferme normale;;;;;;;;;;;;;;;;
;;;;;;;[ferme normale];;;;;;;;;;;
[ferme détruite];;;;;;;NewCrew1/F;;;;;;;;;;;
Narrator : La ferme n'est plus qu'un amât de poutre carbonisée et de cendre. L'air sent encore la fumée. Au seuil de la porte, un tas de papier brûlé. Un petit chemin parsemé de traces de pas mène sur une autre plage.;;;;;;;Narrator : C'est une petite ferme, entourée de champs. Une jeune fille ramasse des graines de tournesol près de la porte. Un chemin mène vers la plage, un autre vers derrière la maison.;Node=>fermière morte;Node=>combat fermière;;;;;;;;;
[choix];;;;;;;RandomRange2;;;;;;;;;;;
SetChoices4;;;;;;;Node=>choix ferme normale;Node=>choix ferme normale – poules;;;;;;;;;;
Choice : (retourner au bateau)(partir);Choice : (fouiller les restes)(loot);;Choice : (regarder les papiers);;Choice : (suivre traces de pas)(autre);;;;;;;;;;;;;
Fade;RandomPercent50;;RandomRange2;;Fade;;;;;;;;;;;;;
Node=>debut;PlayerSpeak : Des babioles…;PlayerSpeak : Rien à sauver.;PlayerSpeak : Tiens tiens ! ça parle de Bobby…;PlayerSpeak : Le peu lisible n'est que factures et recettes de cuisines.;Node=>plage2;;;;;;;;;;;;;
;LootMisc;Node=>choix;PlayerSpeak : Quelqu'un sait quelques chose DIRECTIONTOFORMULA;Node=>choix;;;[choix ferme normale];;;;;[choix ferme normale – poules];;;;;;
;Node=>choix;;Node=>ferme détruite;;;;SetChoices3;;;;;Narrator : CAPITAINE aperçoit un petit poulaillier près de la ferme. Quelques oiseaux y courent.;;;;;;
;;;Node=>choix;;;;Choice : (retourner sur la plage)(partir);Choice : (aller voir jeune fille);Choice : (suivre chemin)(autre);;;SetChoices4;;;;;;
;;;;;;;Fade;Fade;Fade;;;Choice : (retourner sur la plage)(partir);Choice : (aller voir jeune fille);Choice : (suivre chemin)(autre);Choice : (aller voir les poules);;;
[plage2];;;;;;;HideOther;HideOther;HideOther;;;Fade;Fade;Fade;Fade;;;
CheckQuest=>plage vide;;;;;;;Node=>debut;Node=>rencontre fermière;Node=>plage2;;;HideOther;HideOther;HideOther;HideOther;;;
RandomPercent50;;;;;;;;;;;;Node=>debut;Node=>rencontre fermière;Node=>plage2;Node=>poules;;;
Node=>plage vide;Node=>plage pirates;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;[poules];;;;;;;;;;;
[plage vide];;;;;;;Narrator : CAPITAINE s'approche de l'enclos, quand les poules commencent à s'exciter.;Node=>poules cache;;;;;;;;;;
Narrator : La plage est vide. Seule la voile d'un bateau, pirate il semble, se déssine à l'horizon.;;;;;;;SetChoices2;;;;;[poules cache];;;;;;
Narrator : Ils partent DIRECTIONTOFORMULA;;;;;;;Choice : Retournons voir la fermière (partir);Choice : On en chope une ! (dex);;;;PlayerSpeak : On dirait que toutes les poules se sont cachées.;;;;;;
[choix plage vide];;;;;;;Fade;Switch=>poules;RandomRange2;;;PlayerSpeak : Après mon passage.;;;;;;
SetChoices2;;;;;;;Node=>ferme normale;CheckStatDEX;PlayerSpeak : Argh !;PlayerSpeak : Je l'ai !;;Fade;;;;;;
Choice : (revenir à la ferme)(partir);Choice : (fouiller la plage)(loot);;;;;;;PlayerSpeak : Je l'ai !;PlayerSpeak : Elle m'a totalement échappé;PlayerSpeak : Ah non est s'échappe !;;Node=>ferme normale;;;;;;
Fade;RandomPercent25;;;;;;;AddToInventory<Poulet>/Food;Node=>test ferme;AddToInventory<Plume>/Misc;;PlayerSpeak : Mais on dirait que la fermière ne m'a même pas vu;;;;;;
Node=>choix ferme;PlayerSpeak : Oh !;PlayerSpeak : La plage est toute vide !;;;;;;AddToInventory<Poulet>/Food;;AddToInventory<Plume>/Misc;;Node=>ferme normale;;;;;;
;PlayerSpeak : Un petit crabe..;Node=>choix plage vide;;;;;;AddToInventory<Poulet>/Food;;AddToInventory<Plume>/Misc;;;;;;;;
;AddToInventory<Crabe>/Food;;;;;;;Node=>test ferme;;PlayerSpeak : C'est toujours ça de pris.;;;;;;;;
;Node=>choix plage vide;;;;;;;;;Node=>fermière mécontante;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;[test ferme];;;;;;;;;;;
;;;;;;;RandomRange2;;;;;;;;;;;
[plage pirates];;;;;;;Node=>fermière mécontante;PlayerSpeak : On dirait que la fermière ne m'a même pas vu;;;;;;;;;;
NewCrew;;;;;;;;Node=>ferme normale;;;;;;;;;;
Narrator : Un groupe de pirates ! Ils s'appretent à monter dans leur petit bateau.;Node=>pirates morts;Node=>combat pirates;;;;;;;;;;;;;;;;
OtherSpeak : Vous n'aurez jamais le trésor avant nous !;;;;;;;;;;;;;;;;;;
[discussion pirates];;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;[fermière mécontante];;;;;;;;;;;
Choice : Je ne cherche pas d'ennuis !(cha);;Choice : Je vais t'encrouter !(attaquer);Choice : Où est le trésor !?(cha);;;;OtherSpeak : Non mais oh !;;;;;;;;;;;
CheckStatCHA;;Node=>combat pirates;CheckStatCHA;;;;OtherSpeak : Vous allez là payer cette poule.;;;;;;;;;;;
OtherSpeak : Alors tournez les talonts !;OtherSpeak : Vous venez d'en trouver !;;OtherSpeak : Il n'est sûrement pas DIRECTIONTOFORMULA;OtherSpeak : Si vous croyez qu'on va vous dire !!;;;OtherSpeak : 50 pièces tout rond.;;;;;;;;;;;
Fade;Node=>combat pirates;;Node=>discussion pirates;Node=>discussion pirates;;;SetChoices3;;;;;;;;;;;
HideOther;;;;;;;Choice : Hors de question (attaquer);Choice : Je pensais pas qu'elle était à vous (cha);;Choice : Tenez (trade);;;;;;;;
Node=>choix ferme;;;;;;;OtherSpeak : Quel cûlot;CheckStatCHA;;CheckGold50;;;;;;;;
;;;;;;;Node=>combat fermière;OtherSpeak : Oh...;OtherSpeak : Ouais c'est ça.;RemoveGold50;OtherSpeak : Vous n'avez meme pas assez ?;;;;;;;
;;;;;;;;OtherSpeak : Faites attention la prochaine fois...;OtherSpeak : Vous m'avez pris pour une mûre.;OtherSpeak : C'est mieux...;OtherSpeak : Vous m'avez pris pour une mûre.;;;;;;;
[combat pirates];;;;;;;;Node=>ferme normale;Node=>combat fermière;Node=>ferme normale;Node=>combat fermière;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;
Node=>pirates morts;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[pirates morts];;;;;;;;;;;;;;;;;;
