Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;
Grotte;3,39;0;;;;;;;;;;;;;;;;;
Narrator : L'île n'a aucune plage. La côte mène directement à un petit bois.;;;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : (partir);Choice : (faire un campement)(dormir);Choice : (entrer dans bois);;;;;;;;;;;;;;;;;
PlayerSpeak : Tayo !;ChangeTimeOfDay;Fade;;;;;;;;;;;;;;;;;
Leave;Node=>debut;Node=>bois;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[bois];;;;;;;;;;;;;;;;;;;
CheckDay;;;;;;;;;;;;;;;;;;;
Narrator : Les oiseaux chantent, les branches dansent paisiblement et l'atmosphère est calme.;Narrator : Dans le bois résonne un silence de mort. Seules les branches se froissent de temps à autres, et quelques hullulements.;;;;;;;;;;;;;;;;;;
[description suite];Node=>description suite;;;;;;;;;;;;;;;;;;
Narrator : Un peu plus loin, une porte est solidement enfoncée dans un énorme rocher. Elle est entourée de symboles et de d'inscriptions.;;;;;;;;;;;;;;;;;;;
[choix porte];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : (retourner en arrière);Choice : (observer les inscriptions);Choice : (ouvrir la porte);;;;;;;;;;;;;;;;;
Fade;PlayerSpeak : Hmmmm;[ouverte?];;;;;;;;;;;;;;;;;
Leave;Fade;PlayerSpeak : C'est fermé ! Elle ne BOUGE pas.;Narrator : La porte s'ouvre grandement, et calmement. Elle donne sur un escalier descendant. On n'en voit pas le fond.;;;;;;;;;;;;;;;;
;Node=>enigmes;Node=>choix porte;SetChoices2;;;;;;;;;;;;;;;;
;;;Choice : (retourner sur la plage)(partir);Choice : (entrer);;;;;;;;;;;;;;;
;;;Fade;Fade;;;;;;;;;;;;;;;
;;;Node=>debut;Node=>grotte;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[enigmes];;;;;;;;;;;;;;;;;;;
RandomRange8;;;;;;;;;;;;;;;;;;;
Node=>trompette;Node=>peluche;Node=>nuit;Node=>dés;Node=>vaudoo;Node=>perle;Node=>corde;Node=>bougie;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[porte ouverte];;[trompette];;[peluche];;[nuit];;[dés];;[vaudoo];;[perle];;[corde];;;;[bougie];
Narrator : CAPITAINE perçoit un léger clic derrière la porte en pierre.;;Narrator : Sur le dessin , 7 anges font retentir l’apocalypse. Cependant leurs mains sont vides.;;Narrator : L’accès est reservé aux âmes enfantines et à leurs compagnons tout doux.;;PlayerSpeak : On dirait des étoiles… Et la lune…;;Narrator : Après avoir roulé sur mes six faces, je ne suis que le fruit du hasard;;Narrator : Les inscriptions lisent : « Plantez y des aiguilles pour vous soulager d'une personne détestée »;;Narrator : Après avoir mangé des tonnes d'huitres, on tombe rarement sur moi.;;Narrator : Alors que CAPITAINE s'approche des gravures, la pierre s'enfonce dans la terre pour ne laisser qu'un trou béant.;;;;Narrator : Les inscriptions lisent : « Ma flemme va bientôt s'éteindre »;
PlayerSpeak : !;;PlayerSpeak : Il manque quelque chose;;PlayerSpeak : Il manque quelque chose;;CheckDay;;PlayerSpeak : Il manque quelque chose;;PlayerSpeak : Il manque quelque chose;;PlayerSpeak : Il manque quelque chose;;SetChoices3;;;;PlayerSpeak : Il manque quelque chose;
Fade;;CheckInInventory<Trompette>/Misc;;CheckInInventory<Peluche>/Misc;;Fade;Node=>porte ouverte;CheckInInventory<Dés>/Misc;;CheckInInventory<Poupée vaudoo>/Misc;;CheckInInventory<Perle>/Misc;;Choice : (descendre avec une corde)(loot);;Choice : (descendre);Choice : (partir);CheckInInventory<Bougie>/Misc;
Switch=>ouverte?;;SetChoices1;Fade;SetChoices1;Fade;Node=>choix porte;;SetChoices1;Fade;SetChoices1;Fade;SetChoices1;Fade;CheckInInventory<Corde>/Misc;;PlayerSpeak : C'est beaucoup trop profond.;Fade;SetChoices1;Fade
Node=>choix porte;;Choice : (placer trompette);Node=>choix porte;Choice : (placer peluche);Node=>choix porte;;;Choice : (placer dés);Node=>choix porte;Choice : (placer poupée);Node=>choix porte;Choice : (placer perle);Node=>choix porte;Fade;Fade;PlayerSpeak : Je risque de me faire mal.;Node=>choix porte;Choice : (placer bougie);Node=>choix porte
