Nom;Fréquence %;Sprite ID;;;;;;;;;;
Hangar;5,08;1;;;;;;;;;;
Narrator : Le bateau est accosté sur une minuscule île, la plage est jonchée de bateau de toute taille, certains sont mêmes des carcasses. Il y a une vielle cabane au bout d'un petit chemin.;;;;;;;;;;;;
CheckQuest=>choix debut;;;;;;;;;;;;
[choix debut];;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : (partir);Choice : (vers la cabane);;;;;;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;;;;;;
Leave;[charpentier];;;;;;;;;;;
;NewCrew;;;;;;;;;;;
;OtherSpeak : Bonjour !;Node=>Charpentier Mort;Node=>Combat Charpentier;;;;;;;;;
;OtherSpeak : Je fais des merveilles avec les bateaux;;;;;;;;;;;
;[conversation];;;;;;;[discussion];;;;
;SetChoices4;;;;;;;SetChoices3;;;;
;Choice : (partir);Choice : Occupez vous de mon bateau !(trade);;Choice : (discuter)(autre);Choice : (attaquer);;;Choice : Revenons aux choses sérieuses.;Choice : NOMTRESOR, ça vous parle ?;;Choice : Comment ça se passe le métier de charpentier ?(quete);
;HideOther;[bateau];;Node=>discussion;RemoveKarma;;;OtherSpeak : Très bien.;RandomRange2;;RandomPercent65;
;Leave;OtherSpeak : Avec plaisir !;OtherSpeak : Après m'avoir menacé ? Non, non.;;RandomPercent50;;;Node=>conversation;OtherSpeak : Allez DIRECTIONTOFORMULA, vous en saurez plus.;OtherSpeak : Non ça me dis rien !;OtherSpeak : Les affaires marchent très bien.;NewQuest=>discussion
;;BoatUpgrades;Node=>conversation;;OtherSpeak : Non, non.;Node=>Combat Charpentier;;;Node=>conversation;Node=>conversation;OtherSpeak : Trop bien même.;
;;Node=>conversation;;;OtherSpeak : Prenez ça, laissez moi, svp.;;;;;;OtherSpeak : Je n'ai plus le temps de naviguer.;
;;;;;LootMisc/Food;;;;;;Node=>discussion;
;;;;;OtherSpeak : Je n'ai rien d'autre…;;;;;;;
;;;;;SetChoices2;;;;;;;
;;;;;Choice : Merci beaucoup.;Choice : Tout de même, je te crotte.(attaquer);;;;;;
;;;;;Switch=>bateau;RemoveKarma;;;;;;
;;;;;Node=>conversation;Node=>Combat Charpentier;;;;;;
;;;;;;;;;;;;
[Combat Charpentier];;;;;;;;;;;;
OtherSpeak : Imbécile de pirate !;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;
Node=>Charpentier Mort;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[Charpentier Mort];;;;;;;;;;;;
Narrator : Le charpentier est mort sur son seuil. La porte de sa cabane est grande ouverte.;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : (partir);Choice : (rentrer dans la cabane);;;;;;;;;;;
Leave;Fade;;;;;;;;;;;
;RandomPercent29;;;;;;;;;;;
;PlayerSpeak : Totalement vide !;;[Fouiller Maison];;;;;;;;;
;PlayerSpeak : Juste de la paille pour dormir…;;RandomRange3;;;;;;;;;
;[Cabane Vide];;Narrator : Il y a un petit peu de paille pour dormir, et un petit garde manger près de la porte.;;;Narrator : Il y a un petit peu de paille pour dormir, et un râtelier d'arme.;;;Narrator : Il y a un petit peu de paille pour dormir, et un petit coffre rempli de tout et de rien.;;;
;SetChoices2;;SetChoices3;;;SetChoices3;;;SetChoices3;;;
;Choice : (sortir)(partir);Choice : (dormir);Choice : (sortir)(partir);Choice : (dormir);Choice : (fouiller)(loot);Choice : (sortir)(partir);Choice : (dormir);Choice : (fouiller)(loot);Choice : (sortir)(partir);Choice : (dormir);Choice : (fouiller)(loot);
;Fade;ChangeTimeOfDay;Fade;ChangeTimeOfDay;LootMisc/Food;Fade;ChangeTimeOfDay;LootWeapons;Fade;ChangeTimeOfDay;LootMisc;
;Node=>Charpentier Mort;Node=>Cabane Vide;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Fouiller Maison;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Fouiller Maison;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Fouiller Maison;
