Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;
Jeu;0;0;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;;;;;;;;
Node=>shifumi;Node=>dés;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[shifumi];;;;;;;;;;;;;;;;;;;
OtherSpeak : Assieds toi jeune !;;;;;;;;[dés];;;;;;;;;;;
OtherSpeak : Tu connais les règles du « Shifumi »?;;;;;;;;OtherSpeak : Assieds toi...;;;;[explication dés];;;;;;;
[choix regles];;;;;;;;OtherSpeak : Tu connais les règles des dés ?;;;;OtherSpeak : Tu lances le nombre de dés que tu veux.;;;;;;;
SetChoices3;;;;;;;;SetChoices3;;;;OtherSpeak : Si ton jet contient un six.;;;;;;;
Choice : Non;Choice : Oui;;;Choice : Je n'ai pas envie de jouer;;;;Choice : Non;Choice : Oui;Choice : Je n'ai pas envie de jouer;;OtherSpeak : Je te donne 100 pièces d'or;;;;;;;
OtherSpeak : Jva t'expliquer.;OtherSpeak : Très bien.;;;OtherSpeak : Très bien.;;;;OtherSpeak : Laisse moi t'expliquer.;OtherSpeak : Alors on commence.;OtherSpeak : Très bien.;;OtherSpeak : Et moins tu jettes de dés.;;;;;;;
OtherSpeak : Tu fais avec ta main une pierre, un papier ou un ciseau.;OtherSpeak : Le pari est à 50 pièces d'or;;;Leave;;;;Node=>explication dés;Node=>jeu dés;Leave;;OtherSpeak : Plus le pari est bas;;;;;;;
OtherSpeak : Je fais de même.;SetChoices2;;;;;;;;;;;Node=>dés;;;;;;;
OtherSpeak : On montre en même temps.;Choice : (partir);Choice : (parier)(trade);;;;;;;;;;;;;;;;;
OtherSpeak : Pierre remporte ciseau.;Leave;CheckGold50;;;;;;;;;;;;;;;;;
OtherSpeak : Ciseau remporte papier.;;RemoveGold50;OtherSpeak : Tu n'as pas assez.;;;;;;;;;;;;;;;;
OtherSpeak : Papier remporte pierre.;;OtherSpeak : Commençons;Leave;;;;;;;;;;;;;;;;
OtherSpeak : Tout est clair ?;;Node=>shifumi1;;;;;;;;;;;;;;;;;
Node=>choix regles;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[shifumi1];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : Pierre;Choice : Papier;Choice : Ciseau;;;;;;;;;;;;;;;;;
Node=>pierre;Node=>papier;Node=>ciseau;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[pierre];;;;;;;;[jeu dés];;;;;;;;;;;
RandomRedoRange3;;;;;;;;OtherSpeak : Tu veux jetter combien de dés ?;;;;;;;;;;;
OtherSpeak : Pierre !;OtherSpeak : Ciseau !;OtherSpeak : Papier !;;;;;;SetChoices4;;;;;;;;;;;
OtherSpeak : On est quittes !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;;Choice : 1;;;Choice : 2;;;Choice : 3;;;Choice : 4;;
