Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;
Manoir;5,08;1;;;;;;;;;;
[debut];;;;;;;;;;;;
Narrator : Au milieu d'une petit plaine se tient une immense baraque. Elle est vielle et dans un piteux état.;;;;;;;;;;;;
CheckQuest=>choix porte;;;;;;;;;;;;
[choix porte];;;;;;;;;;;;
SetChoices3;;;;;;;[toquer];;;;;
Choice : (partir de l'île)(partir);Choice : (ouvrir porte maison);Choice : (toquer à la porte);;;;;RandomRange3;;;;;
Leave;Fade;Node=>toquer;;;;;Narrator : …;;;Narrator : Une vielle dame ouvre la porte…;Narrator : Personne ne répond…;
;Node=>ouvrir porte;;;;;;Narrator : Après quelques secondes, la porte s'ouvre. Elle est grande ouverte, mais personne n'est derrière.;;;[vielle dame];Node=>choix porte;
;;;;;;;SetChoices2;;;NewCrew1/F;;
;;;;;;;Choice : (partir de l'île)(partir);Choice : (entrer);;Node=>vielle dame à la porte ?;Node=>salon vide;LaunchCombat
[ouvrir porte];;[porte fermée];;;;;Leave;Switch=>debut salon;;[vielle dame à la porte ?];;Node=>salon vide
RandomRange2;Node=>entrée maison;PlayerSpeak : C'est fermé…;;;;;;Fade;;OtherSpeak : De la compagnie !;Node=>salon vielle dame;
Node=>entrée maison;Node=>porte fermée;SetChoices3;;;;;;Node=>entrée maison;;OtherSpeak : Venez boire un thé dans mon salon !;;
;;Choice : (partir de l'île)(partir);Choice : (chercher une clé);;Choice : (défoncer la porte)(str);;;;;Switch=>debut salon;;
;;Leave;CheckInInventory<Clé>/Misc;;CheckStatSTR;;;;;Switch=>check bandits;;
;;;RemoveFromInventory<Clé>/Misc;PlayerSpeak : Je n'ai pas de clé et…;PlayerSpeak : BIM !;PlayerSpeak : Elle ne bouge pas !;;;;Switch=>vielle dame à la porte ?;;
;;;PlayerSpeak : Bingo !;Node=>porte fermée;Switch=>ouvrir porte;Node=>choix porte;;;;HideOther;;
;;;Node=>entrée maison;;Node=>entrée maison;;;;;Fade;;
;;;;;;;;;;Node=>maison vide;;
;;;;;;;;;;;;
[entrée maison];;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;
Node=>maison vide;Node=>trop sombre;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[trop sombre];;;;;;;;;;;;
Narrator : La porte s'ouvre mais l'équipage est plongé dans la pénombre totale.;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : (partir de l'île)(partir);Choice : (sortir lanterne);;;;;;;;;;;
Leave;CheckInInventory<Lanterne>/Misc;;;;;;;;;;;
;Node=>maison vide;PlayerSpeak : Je n'ai aucune lanterne;;;;;;;;;;
;;Node=>trop sombre;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[maison vide];;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;
Narrator : CAPITAINE est dans un manoir très grand. Un couloir se faufile vers ce qui semble être un salon et les cuisines sont directement à gauche. Un bel escalier de bois mène à l'étage.;;;;Narrator : CAPITAINE est dans une coquette villa. Au dirait un petit boudoir au fond du couloir, et une petite salle à manger directement à gauche.;;;;;;;;
SetChoices4;;;;SetChoices3;;;;;;;;
Choice : (sortir)(partir);Choice : (entrer dans la salle à manger);Choice : (vers le salon);Choice : (monter à l'étage);Choice : (sortir)(partir);Choice : (s'aventurer dans le boudoir);Choice : (entrer dans la salle à manger);;;;;;
Leave;Fade;Fade;Fade;Leave;Fade;Fade;;;;;;
;Node=>cuisine;Node=>debut salon;Node=>étage;;Node=>debut salon;Node=>cuisine;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[debut salon];;;;;;;;;;;;
RandomRange3;;;Node=>check bandits;;;;;;;;;
Node=>salon vide;Node=>salon guet apens;Node=>vielle dame;[check bandits];;;;;;;;;
;;;Node=>salon guet apens;Node=>vielle dame;;;;;;;;
;;;;;;;;;;;;
[salon vide];;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;
Node=>salon sans bureau;Node=>salon avec bureau;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[salon sans bureau];;[salon avec bureau];;;[bureau];;[fouiller salon];;;;;
Narrator : Le salon est coquet et confortable. Un petit bazar est étalé sur une table en bois.;;Narrator : Une grande pièce à vivre s'ouvre devant CAPITAINE. Elle est vide, chaleureuse et lumineuse. Contre le mur un petit bureau, à côté d'une petite table embarsardée.;;;RandomRange2;;RandomRange2;;;;;
SetChoices2;;[choix salon bureau];;;PlayerSpeak : Que du charabiat et de listes de course;PlayerSpeak : Des cartes avec le symboles de Bobby.;PlayerSpeak : Rien d'intéressant par ici;Node=>table salon;;;;
Choice : (retourner à l'entrée)(partir);Choice : (fouiller)(loot);SetChoices3;;;Node=>choix salon bureau;PlayerSpeak : Tout pointe DIRECTIONTOFORMULA;Node=>salon vide;[table salon];;;;
Fade;Node=>fouiller salon;Choice : (retourner à l'entrée)(partir);Choice : (regarder bureau)(loot);Choice : (fouiller)(loot);;Node=>salon avec bureau;;AddToInventory/Misc;PlayerSpeak : Plus rien…;;;
Node=>maison vide;;Fade;Fade;Node=>fouiller salon;;;;PlayerSpeak : Cool…;Node=>debut salon;;;
;;Node=>maison vide;Node=>bureau;;;;;Switch=>table salon;;;;
;;;;;;;;Node=>debut salon;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[salon vielle dame];Node=>salon vide;OtherSpeak : Vous ne voulez pas laisser une vielle dame tranquille…;;;;;;;;;;
OtherSpeak : Ah vous voilà !;;LaunchCombat;;;;;;;;;;
OtherSpeak : Asseyez vous !;;Node=>salon vide;;;;;;;;;;
Node=>choix vielle dame;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[choix vielle dame];;;;;[choix autre];;;;;;;
SetChoices4;;;;;SetChoices4;;;;;;;
Choice : Non rien(partir);Choice : Ça vous parle, NOMTRESOR ?;;Choice : Vous auriez pas de quoi manger ?(trade);Choice : (autre);Choice : C'est quoi cette maison ?;Choice : (attaquer);Choice : (autre);Choice : Ça se passe bien ici ?(quete);;;;
Node=>départ;RandomRange2;;Node=>dame nourriture;Node=>choix autre;Node=>conv;RemoveKarma;Node=>choix vielle dame;RandomPercent65;;;;
;OtherSpeak : Ça ne me dis rien.;OtherSpeak : Ces des légendes DIRECTIONTOFORMULA;;;;LaunchCombat;;OtherSpeak : Parfait !;NewQuest=>choix autre;;;
;Node=>choix vielle dame;Node=>choix vielle dame;;;;Node=>salon vide;;OtherSpeak : Je n'ai pas besoin de grand choses.;;;;
;;;;;;;;OtherSpeak : Seulement de l’éventuelle compagnie des voyageurs.;;;;
[départ];;;;;;;;Node=>choix autre;;;;
RandomRange3;;;;;;;;;;;;
Fade;[partir];;;;;;;;;;;
Node=>maison vide;Switch=>partir;Fade;;;;;;;;;;
;OtherSpeak : Attendez !;Node=>maison vide;;;;;;;;;;
;OtherSpeak : J'ai un petit quelque chose pour vous.;;;;;;;;;;;
;AddToInventory<Boucles d'oreille>/Misc;;;;;;;;;;;
;OtherSpeak : On sait jamais.;;;;;;;;;;;
;OtherSpeak : Si vous voulez les porter.;;;;;;;;;;;
;OtherSpeak : Voulez l'offrir à une de vos blondes.;;;;;;;;;;;
;OtherSpeak : Aller bon vent !;;;;;;;;;;;
;Fade;;;;;;;;;;;
;Node=>maison vide;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[dame nourriture];;;;;;;;;;;;
RandomRange5;;;;;;;;;;;;
OtherSpeak : Je n'ai rien !;OtherSpeak : Je ne donne rien gratuitement !;OtherSpeak : Je crois que je reviens du marché !;Node=>mémé cuisine;OtherSpeak : J'ai toujours quelques gâteries pour les rares voyageurs;;;;;;;;
Node=>choix autre;TradeFood;OtherSpeak : Allez voir dans la cuisine !;;LootFood;;;;;;;;
;Node=>choix autre;Node=>choix vielle dame;;Node=>choix autre;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[mémé cuisine];;;;;;;;;;;;
OtherSpeak : J'ai bien de quoi vous préparer à manger.;;;;[mémé a cuisiné];;;;;;;;
OtherSpeak : Mais j'ai totalement perdu mon livre de cuisine.;;;;Switch=>mémé a cuisiné;OtherSpeak : Revoilà mon fournisseur de recette !;;;;;;;
OtherSpeak : Ramenez m'en un et je vous préparerais un festin.;;;;OtherSpeak : C'est bon, le festin est prêt !;OtherSpeak : Je n'ai plus grand chose à t'offrir.;;;;;;;
CheckInInventory<Livre de recettes>/Misc;;;;LootFood;Node=>choix vielle dame;;;;;;;
SetChoices2;;SetChoices2;;OtherSpeak : Alors, ça t'a plus, mon enfant ?;;;;;;;;
Choice : On en a pas mémé (partir);Choice : (donner livre de recettes);Choice : On en a pas mémé (partir);Choice : (donner livre de recettes);SetChoices2;;;;;;;;
Node=>choix vielle dame;OtherSpeak : Merci mon enfant !;Node=>choix vielle dame;OtherSpeak : Vous n’avez rien à me donner !;Choice : Un régal !;Choice : Ignoble !;;;;;;;
;OtherSpeak : Reviens dans quelques minutes et régale toi !;;Node=>choix vielle dame;AddKarma;RemoveKarma;;;;;;;
;Switch=>mémé cuisine;;;OtherSpeak : Merveilleux !;OtherSpeak : Voilà qui me rend triste.;;;;;;;
;Node=>choix vielle dame;;;Node=>choix vielle dame;Node=>choix vielle dame;;;;;;;
;;;;;;;;;;;;
[conv];;;;;;;;;;;;
RandomRange5;;;;;;;;;;;;
OtherSpeak : Je viens des terres glacées.;OtherSpeak : C'est vrai que la maison est un peu grande…;OtherSpeak : Ce ne sont pas vos oignons;Node=>dire bob;Node=>roman;;[dire bob];[roman];;;;;
OtherSpeak : Je viens ici parce qu'il fait plus chaud.;OtherSpeak : Surtout depuis la mort de RANDOMMALENAME;SetChoices2;;;;OtherSpeak : Je suis née DIRECTIONTOFORMULA;OtherSpeak : A vrai dire, je m'ennuie terriblement.;;;;;
Node=>choix autre;OtherSpeak : Et le départ des gosses;Choice : OK… Pas besoin de s'énerver.;Choice : (charmer)(cha);;;OtherSpeak : Là bas tout le monde nous rabas les oreilles.;OtherSpeak : Je donnerais tout pour un petit livre à lire;;;;;
;Node=>choix autre;Node=>choix autre;Node=>oignons;;;OtherSpeak : Avec un certain NOMTRESOR;CheckInInventory<Roman>/Misc;;;;;
;;;[oignons];;;Node=>choix autre;SetChoices2;;SetChoices2;;;
;;;CheckStatCHA;[pas oignons];;;Choice : Tiens, mémé;Choice : J'en ai pas, navré.;Choice : Tiens, mémé;Choice : J'en ai pas, navré.;;
;;;Node=>dire bob;OtherSpeak : J'ai dis ce ne sont pas vos oignons !;;;RemoveFromInventory<Roman>/Misc;Node=>conv;OtherSpeak : Vous n’avez rien à me donner !;Node=>conv;;
;;;;Switch=>oignons;;;OtherSpeak : Mon enfant, mille merci !;;Node=>conv;;;
;;;;Node=>choix autre;;;OtherSpeak : Si vous saviez comme c'est rare, de nos jours.;;;;;
;;;;;;;OtherSpeak : Quelqu'un qui lit sur ces mers de bandits.;;;;;
[salon guet apens];;;;;;;Node=>conv;;;;;
NewCrew;;;;;;;;;;;;
Node=>bandits;Node=>salon vide;LaunchCombat;;;;;;;;;;
[bandits];;Node=>salon vide;;;;;;;;;;
Narrator : Quelques pilleurs souillent le salon.;;;;;;;;;;;;
RandomRedoRange2;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que vous faites là !;Narrator : On dirait que les bandits n'ont pas vu CAPITAINE.;;;;;;;;;;;
OtherSpeak : Attrapez le !;SetChoices2;;;;;;;;;;;
LaunchCombat;Choice : (attaquer);Choice : (fuir)(dex);;;;;;;;;;
Node=>salon vide;PlayerSpeak : A l'attaque !;CheckStatDEX;;;;;;;;;;
;OtherSpeak : ?!;PlayerSpeak : Cht ! On s'en va !;OtherSpeak : Hey !;;;;;;;;;
;LaunchCombat;HideOther;OtherSpeak : Reviens un peu toi !;;;;;;;;;
;Node=>salon vide;Fade;LaunchCombat;;;;;;;;;
;;Node=>maison vide;Node=>salon vide;;;;;;;;;
;;;;;;;;;;;;
[cuisine];;;;;;;;;;;;
Narrator : La pièce est très large, elle à l’air de pouvoir accueillir beaucoup de gens.;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : (retourner à l'entrée)(partir);Choice : (fouiller garde manger)(loot);Choice : (regarder vaiselle)(loot);;[vaisselle];;;;;;;;
Fade;Node=>garde manger;RandomRange2;;Node=>encore vaisselle;Node=>plus vaisselle;;;;;;;
Node=>maison vide;;Node=>vaisselle;Node=>plus vaisselle;;;;;;;;;
;;;;[encore vaisselle];[plus vaisselle];;;;;;;
[garde manger];;;;AddToInventory/Misc;PlayerSpeak : Il n'y a plus rien !;;;;;;;
RandomRange2;[rien dans le garde manger];;;PlayerSpeak : Des babioles !;Node=>cuisine;;;;;;;
PlayerSpeak : Yes !;PlayerSpeak : Rien du tout;;;Switch=>vaisselle;;;;;;;;
LootFood;Node=>cuisine;;;Node=>cuisine;;;;;;;;
Switch=>garde manger;;;;;;;;;;;;
Node=>cuisine;;;;;;;;;;;;
;;;;;;;;;;;;
[étage];;;;[chambre enfant];;;;;;;;
Node=>grenier;Node=>chambre enfant;;;PlayerSpeak : La chambre d'enfant est vide…;;;;;;;;
;;;;PlayerSpeak : Pourquoi est-t-elle abandonnée ?;;;;;;;;
[grenier];;;;[choix chambre];;;;;;;;
