Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;
Musiciens;0;1;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
NewCrew;;;;;[retour];;;;;;[trompette];;[guitare];;[luth];;[accordéon];;[flute]
Narrator : Les musiciens se tiennent, gênés et benêts, l’air déçu.;Node=>retour;;;;Node=>instruments;Narrator : La salle danse au son de l’orchestre, la taverne a retrouvé son ambiance chaleureuse.;;;;;OtherSpeak : Alors vous l'avez trouvé ma trompette ?;Node=>guitare;OtherSpeak : Alors vous l'avez trouvé ma guitare ?;Node=>luth;OtherSpeak : Alors vous l'avez trouvé mon luth ?;Node=>accordéon;OtherSpeak : Alors vous l'avez trouvé mon accordéon ?;Node=>flute;OtherSpeak : Alors vous l'avez trouvé ma flûte ?
SetChoices2;;;;;;OtherSpeak : Revoilà le coquin qui a refait danser la salle !;;;;;OtherSpeak : On est en train de déprimer tout le monde.;;OtherSpeak : On est en train de déprimer tout le monde.;;OtherSpeak : On est en train de déprimer tout le monde.;;OtherSpeak : On est en train de déprimer tout le monde.;;OtherSpeak : On est en train de déprimer tout le monde.
Choice : Tout va bien ?;Choice : (partir);;;;;Leave;;;;;Node=>check trompette;;Node=>check guitare;;Node=>check luth;;Node=>check accordéon;;Node=>check flute
OtherSpeak : C’est la misère;Leave;;;;;;;;;;;;;;;;;;
OtherSpeak : On peut plus jouer du tout.;;;;;;;;;;;;;;;;;;;
Node=>instruments;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[instruments];;;;;;;;;;;;;;;;;;;
RandomRange5;;;;;;;;;;;;;;;;;;;
[trompette];[guitare];[luth];[accordéon];[flute];;;;;;;;;;;;;;;
OtherSpeak : Notre trompettiste a perdu son instrument.;OtherSpeak : Notre guitariste a perdu son instrument.;OtherSpeak : Notre joueur de luth a perdu son instrument.;OtherSpeak : Notre accordéoniste a perdu son instrument.;OtherSpeak : Notre flûtiste a perdu son instrument.;;;;;;;;;;;;;;;
OtherSpeak : Si vous croisez une trompette sur la route.;OtherSpeak : Si vous croisez une guitare sur la route.;OtherSpeak : Si vous croisez un luth sur la route.;OtherSpeak : Si vous croisez un accordéon sur la route.;OtherSpeak : Si vous croisez une flûte sur la route.;;;;;;;;;;;;;;;
OtherSpeak : Ramenez là, il pourra nous rejouer son jazz.;OtherSpeak : Ramenez là, il pourra nous rejouer ses jolies sonates.;OtherSpeak : Ramenez là, il pourra nous rejouer ses mélodies orientales.;OtherSpeak : Ramenez là, il pourra nous rejouer sa musette;OtherSpeak : Ramenez là, il pourra nous rejouer ses petits airs d’antan.;;;;;;;;;;;;;;;
OtherSpeak: Je vous offrirais un coup à boire.;OtherSpeak: Je vous offrirais un coup à boire.;OtherSpeak: Je vous offrirais un coup à boire.;OtherSpeak: Je vous offrirais un coup à boire.;OtherSpeak: Je vous offrirais un coup à boire.;;;;;;;;;;;;;;;
Switch=>debut;Switch=>debut;Switch=>debut;Switch=>debut;Switch=>debut;;;;;;;;;;;;;;;
Node=>check trompette;Switch=>trompette;Switch=>trompette;Switch=>trompette;Switch=>trompette;;;;;;;;;;;;;;;
;Node=>check guitare;Switch=>guitare;Switch=>guitare;Switch=>guitare;;;;;;;;;;;;;;;
;;Node=>check luth;Switch=>luth;Switch=>luth;;;;;;;;;;;;;;;
;;;Node=>check accordéon;Switch=>accordéon;;;;;;;;;;;;;;;
;;;;Node=>check flute;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[check trompette];;;;[check guitare];;;;[check luth];;;;[check accordéon];;;;[check flute];;;
CheckInInventory<Trompette>/Misc;;;;CheckInInventory<Guitare>/Misc;;;;CheckInInventory<Luth>/Misc;;;;CheckInInventory<Accordéon>/Misc;;;;CheckInInventory<Flûte>/Misc;;;
SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;
Choice : (donner trompette);Choice : Non désolé, j'ai rien.;Choice : (donner trompette);Choice : Non désolé, j'ai rien.;Choice : (donner guitare);Choice : Non désolé, j'ai rien.;Choice : (donner guitare);Choice : Non désolé, j'ai rien.;Choice : (donner luth);Choice : Non désolé, j'ai rien.;Choice : (donner luth);Choice : Non désolé, j'ai rien.;Choice : (donner accordéon);Choice : Non désolé, j'ai rien.;Choice : (donner accordéon);Choice : Non désolé, j'ai rien.;Choice : (donner flute);Choice : Non désolé, j'ai rien.;Choice : (donner flute);Choice : Non désolé, j'ai rien.
RemoveFromInventory<Trompette>/Misc;OtherSpeak : Ah ce sera pour une prochaine fois.;OtherSpeak : Vous n’avez rien à me donner !;OtherSpeak : Ah ce sera pour une prochaine fois.;RemoveFromInventory<Guitare>/Misc;OtherSpeak : Ah ce sera pour une prochaine fois.;OtherSpeak : Vous n’avez rien à me donner !;OtherSpeak : Ah ce sera pour une prochaine fois.;RemoveFromInventory<Luth>/Misc;OtherSpeak : Ah ce sera pour une prochaine fois.;OtherSpeak : Vous n’avez rien à me donner !;OtherSpeak : Ah ce sera pour une prochaine fois.;RemoveFromInventory<Accordéon>/Misc;OtherSpeak : Ah ce sera pour une prochaine fois.;OtherSpeak : Vous n’avez rien à me donner !;OtherSpeak : Ah ce sera pour une prochaine fois.;RemoveFromInventory<Flûte>/Misc;OtherSpeak : Ah ce sera pour une prochaine fois.;OtherSpeak : Vous n’avez rien à me donner !;OtherSpeak : Ah ce sera pour une prochaine fois.
OtherSpeak : Ah merci !;Leave;Leave;Leave;OtherSpeak : Ah merci !;Leave;Leave;Leave;OtherSpeak : Ah merci !;Leave;Leave;Leave;OtherSpeak : Ah merci !;Leave;Leave;Leave;OtherSpeak : Ah merci !;Leave;Leave;Leave
OtherSpeak : Laissez moi vous offrir l'apéro !;;;;OtherSpeak : Laissez moi vous offrir l'apéro !;;;;OtherSpeak : Laissez moi vous offrir l'apéro !;;;;OtherSpeak : Laissez moi vous offrir l'apéro !;;;;OtherSpeak : Laissez moi vous offrir l'apéro !;;;
LootFood;;;;LootFood;;;;LootFood;;;;LootFood;;;;LootFood;;;
Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;;Switch=>retour;;;
Leave;;;;Leave;;;;Leave;;;;Leave;;;;Leave;;;
