Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Quincaillerie;1,69;1;;;;;;;;;;;
Narrator : L'île est petite, plate et verte. ;;;;;;;;;;;;;
CheckQuest=>debut;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;
Narrator : Sur la plage un panneau indique une direction : « Vendeur de choses et d’autres »;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : (partir);Choice : (suivre panneau);;;;;;;;;;;;
Leave;Fade;;;;;;;;;;;;
;Node=>marchand;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[marchand];;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;
OtherSpeak : Salut voyageur !;Node=>mort;Node=>combat;;;;;;;;;;;
[choix];;;;;;[choix autre];;;;;;[combat];
SetChoices4;;;;;;SetChoices3;;;;;;OtherSpeak : ?!?;
Choice : (partir);Choice : Montrez moi votre marchandise(trade);Choice : Le trésor de NOMTRESOR ?;;Choice : (autre);;Choice : Donnez tout ! (attaquer);Choice : Tout va bien pour vous ?(quete);;;Choice : (autre);;LaunchCombat;
OtherSpeak : Au revoir !;TradeMisc;RandomPercent20;;Node=>choix autre;;Node=>combat;RandomPercent65;;;Node=>choix;;RemoveKarma;
Leave;Node=>choix;OtherSpeak : Ça n'intéresse que les pirates DIRECTIONTOFORMULA;OtherSpeak : Ça ne me dit rien.;;;;OtherSpeak : Les gens ne traversent pas des océans;NewQuest=>choix;;;;[mort];
;;Node=>choix;Node=>choix;;;;OtherSpeak : Pour des choses que j’ai trouvé au fond de l’océan.;;;;;PlayerSpeak : Le voilà mort !;
;;;;;;;OtherSpeak : A part ça, oui.;;;;;SetChoices2;
;;;;;;;Node=>choix;;;;;Choice : (partir);Choice : (fouiller l’échope)
;;;;;;;;;;;;Leave;LootMisc
;;;;;;;;;;;;;PlayerSpeak : Des choses et d’autres…
;;;;;;;;;;;;;PlayerSpeak : Je savais pas à quoi je m’attendais
;;;;;;;;;;;;;Leave
