Nom;Fréquence %;Sprite ID;;;;;;;;;;;
Taverne;8,47;1;;;;;;;;;;;
[debut];;;;;;;;;;;;;
RandomPercent70;;;;;;;;;;;;;
Narrator : De la fumée monte dans le ciel et une odeur merveilleuse flotte dans l'air. C'est une taverne.;;Narrator : Au milieu de l’île, une grosse cabane. Un sanglier en sauce est dessiné sur sur l’enseigne, au dessus de la grande porte. Ce doit être une taverne.;;;[taverne-debut];;;;;;;;
SetChoices2;;SetChoices2;;;RandomRange2;;;;;;;;
Choice : Reprenons la mer(partir);Choice : Entrons;Choice : Reprenons la mer(partir);Choice : Entrons;;Node=>taverne normale;Node=>taverne abandonnée;;;;;;;
Leave;Fade;Leave;Fade;;;;;;;;;;
;Node=>taverne normale;;Node=>taverne abandonnée;;;;;;;;;;
;;;;;;;;;;;;;
[taverne normale];;;;;;;;;;;;;
CheckDay;;;;;;;;;;;;;
Node=>taverne jour;Node=>taverne nuit;;;;[taverne abandonnée];;;;;;;;
[taverne jour];;[taverne nuit];;;Narrator : Alors que CAPITAINE ouvre les portes de la taverne, personne ne l’accueil. La salle est laissée à l’abandon et envahie de toiles d'araignées de moisissures.;;;;;;;;
RandomRange2;;RandomRange2;;;CheckQuest=>choix taverne abandonnée;;;;;;;;
Narrator : A cette heure de la journée, la taverne est bondée. Les clients cris, rient, et s'engueulent.;Narrator : Malgré l'heure de la journée, il n'y a pas grand monde… Le silence domine les tables, seulement quelques vieux sirotent doucement leur chope.;Narrator : La taverne est bondée. Un grand feu de cheminée éclaire la pièce, et tout le monde raconte leurs journées autour. L'alcool embaume la pièce.;Narrator : La taverne est totalement vide de nuit… Le tavernier est à moitié endormi sur son comptoir et seul quelques client dorment dans le vomi de ce qu'ils ont mangé dans la soirée.;;[choix taverne abandonnée];;;;;;;;
CheckQuest=>choix taverne;CheckQuest=>choix taverne;CheckQuest=>choix taverne;CheckQuest=>choix taverne;;RandomRange2;;;;;;;;
Node=>avant taverne;Node=>choix taverne;Node=>choix taverne;Node=>choix taverne;;Node=>auberge vide;Narrator : La lumière ne rentre pas plus loin. Le reste de la salle est obscure et on ne peut rien discerner d’autre.;;;;;;;
;;;;;;SetChoices2;;;;;;;
;;;;;;Choice : (sortir lampe torche);;Choice : (partir);;;;;
;;;;;;CheckInInventory<Lanterne>/Misc;;Leave;;;;;
Choice : Monte ! (membre);;;;;;PlayerSpeak : On y voit nettement mieux !;PlayerSpeak : Je n’en ai aucune !;;;;;;
RandomRange2;;;;;;Node=>auberge vide;CheckQuest=>choix taverne abandonnée;;;;;;
Node=>choix taverne;Node=>choix taverne – musiciens;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[choix taverne];;;;[choix taverne – musiciens];;;;;;;;;
SetChoices3;;;;Narrator : Quelques musiciens se tiennent sur une estrade, au fond de la salle.;;;;;;;;;
Choice : (partir);Choice : (parler au tavernier);Choice : (faire un tour dans la salle);;SetChoices4;;;;;;;;;
Fade;Fade;Fade;;Choice : (partir);Choice : (parler au tavernier);Choice : (faire un tour dans la salle);Choice : (aller voir les musiciens);;;;;;
Leave;Node=>tavernier;Node=>salle;;Fade;Fade;Fade;Fade;;;;;;
;;;;Leave;Node=>tavernier;Node=>salle;ChangeStory=>Musiciens[debut/choix taverne – musiciens];;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[tavernier];;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;
[tavernier check];Node=>combat tavernier;OtherSpeak : Comment osez vous remettre les pieds dans mon auberge !?;;;;;;;;;;;
OtherSpeak : Qu'est-ce que je peux faire pour vous ?;;Node=>combat tavernier;;;;;;;;;;;
Node=>choix1;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[choix1];;;;[choix2];;;;;;;;;
SetChoices4;;;;SetChoices4;;;;;[nouvelles];;;;
Choice : Ça ira pour aujourdh'ui(partir);Choice : On a faim !(trade);Choice : Des chambres pour dormir !(dormir);Choice : (autre);Choice : C'est quoi les nouvelles de la région ?;Choice : (attaquer);Choice : NOMTRESOR, ça vous parle ?;;Choice : (autre);RandomPercent65;;;;
OtherSpeak : Bon bah à la prochaine !;OtherSpeak : Regardez voir ce que j'ai;Node=>chambre;Node=>choix2;Node=>nouvelles;RemoveKarma;RandomRange2;;Node=>choix1;GiveTip;NewQuest=>choix2;;;
Leave;TradeFood;;;;Node=>combat tavernier;OtherSpeak : Non pas du tout.;OtherSpeak : Bien sûr ! Tous les alcooliques ici en parlent.;;Node=>choix2;;;;
;Node=>choix1;;;;;Node=>choix2;OtherSpeak : Il partent toujours DIRECTIONTOFORMULA;;;;;;
;;;;;;;Node=>choix2;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[combat tavernier];;;;;;;;;;;;;
OtherSpeak : Sacre Bleu !;;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;
Node=>auberge vide;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[chambre];;;;;;;;;;;;;
OtherSpeak : Ça sera 10 pièces d'or;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : Tenez !(trade);;Choice : Je n'ai pas assez…;;;;;;;;;;;
CheckGold5;;OtherSpeak : C'est rien mon bon monsieur;;;;;;;;;;;
RemoveGold5;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;Node=>choix1;;;;;;;;;;;
OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;Node=>choix1;;;;;;;;;;;;
OtherSpeak : Bonne nuit;;;;;;;;;;;;;
HideOther;;;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;;
Node=>vol;Node=>mec;Node=>a dormi;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[vol];;;;;;;;;;;;;
SetWeatherNight;;;;;;[a dormi];;;[mec];;;;
Narrator : Des craquements dans le couloir réveillent l'équipage;;;;;;ChangeTimeOfDay;;;Fade;;;;
SetChoices2;;;;;;CheckDay;;;Narrator : En montant vers la chambre, CAPITAINE aperçoit un homme aux ride épaisses et aux airs épuisés.;;;;
