Nom;Fréquence %;Sprite ID;;;;;;;;;
Village;5,08;2;;;;;;;;;
[debut];;;;;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau est accosté dans un petit port. L'air empeste le poisson.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : (partir);Choice : (entrer dans le village);;;;;;;;;;
PlayerSpeak : Ça pue on s'casse.;Fade;;;;;;;;;;
Leave;Node=>place du village;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[place du village];;;;;;;;;;;
CheckDay;;;;;;;;;;;
Narrator : Le village est minuscule, mais la place du village est très vivante. Le soleil tape fort sur les maisons.;Narrator : La nuit, la place du village est vide. Seulement quelques maison sont allumées.;;;;;;;;;;
CheckQuest=>random village;CheckQuest=>random village;;;;;;;;;;
Node=>random village;Node=>random village;;;;;;;;;;
;;;;;;;;;;;
[random village];;;;;;;;;;;
RandomRange3;;;;;;;;;;;
Node=>un chemin;Node=>deux chemins;Node=>trois chemins;;;;;;;;;
;;;;;;;;;;;
[un chemin];;;;;;;;;;;
RandomRange2;;;;;;;;;;;
Narrator : Plus loin sur la place s'ouvre une impasse étroite et sombre.;;Narrator : Pas très loin du port, une grande rue part de la place.;;;;;;;;;
SetChoices2;;SetChoices2;;;;;;;;;
Choice : (repartir);Choice : (continuer dans la petite impasse);Choice : (repartir);Choice : (continuer sur la grande rue);;;;;;;;
Fade;Fade;Fade;Fade;;;;;;;;
Node=>debut;Node=>random village 1;Node=>debut;Node=>random village 1;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[deux chemins];;;;;;;;;;;
Narrator : Une ruelle part de la place principale, et une autre, plus large, s'enfonce dans le village.;;;;;;;;;;;
SetChoices3;;;;;;;;;;;
Choice : (repartir);Choice : (continuer vers la petite ruelle);Choice : (s'enfoncer dans le village);;;;;;;;;
Fade;Fade;Fade;;;;;;;;;
Node=>debut;Node=>random village 1;Node=>random village 2;;;;;;;;;
;;;;;;;;;;;
[trois chemins];;;;;;;;;;;
Narrator : Un sentier continue vers quelques maisonnettes sur la côté, et deux petites rues s'ouvrent au fond de la place, et derrière quelques arbustes.;;;;;;;;;;;
SetChoices4;;;;;;;;;;;
Choice : (repartir);Choice : (prendre le sentier près de la côte);Choice : (s'enfoncer dans la petite rue au fond de la place);Choice : (s'enfoncer derrière les arbres);;;;;;;;
Fade;Fade;Fade;Fade;;;;;;;;
Node=>debut;Node=>random village 1;Node=>random village 2;Node=>random village 3;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[random village 1];;;;;;;;;;;
RandomRange12;;;;;;;;;;;
Node=>puit;Node=>poissoniers;Node=>bandits;Node=>devant taverne;Node=>boutique;Node=>hangar;Narrator : Après quelques pas, une petite boutique apparaît au fond de la rue.;Narrator : Après quelques pas, une petite boutique apparaît au fond de la rue.;Narrator : Après quelques pas, une petite boutique apparaît au fond de la rue.;Narrator : Après quelques pas, une petite boutique apparaît au fond de la rue.;Narrator : La rue disparaît vite, pour donner place a un petit sentier, menant à une vielle maison immense.;Narrator : La rue mène seulement à une autre place, ce village est définitivement plus grand qu'il n't paraît.
