Nom;Fréquence %;Sprite ID;;;;;;
Cargaison;62,5;0;;;;;;
[debut];;;;;;;;
OtherSpeak : Bandits!;;;;;;;;
OtherSpeak : They took everything!;;;;;;;;
OtherSpeak : You have to help me, please!;;;;;;;;
SetChoices2;;;;;;;;
Choice : Sorry, I don’t have time for this.;Choice : Heck, why not. I'll see what I can do! (quest);;;;;;;
OtherSpeak : I’m begging you, don’t leave!;AddCurrentQuest;;;;;;;
Leave;OtherSpeak : They went that way!;;;;;;;
;ShowQuestOnMap;;;;;;;
;Leave;;;;;;;
;;;;;;;;
;;;;;;;;
[suite];;;;;;;;
RandomRange2;;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;;
;;;;;;;;
[bandits voient pas];;;;[bandits voient];;;;
Narrator : A group of bandits is resting in the shade of a tree. They don't seem to have noticed CAPITAINE yet.;;;;Narrator : CAPITAINE spots a group of bandits. They’re getting closer.;;;;
Narrator : Behind them are stacked what seems to be stolen crates.;;;;Narrator : Behind them are stacked what seems to be stolen crates.;;;;
NewCrew;;;;NewCrew;;;;
[choix bandits 1];Node=>cargaison;Node=>combat bandits;;[choix bandits 2];Node=>cargaison;Node=>combat bandits;;
SetChoices2;;;;SetChoices3;;;;
Choice : (don’t get involved)(leave);Choice : Hey! You’ll return the stolen goods, this instant! (attack);;;Choice : (attack);Choice : (run)(dex);;Choice : (charm)(cha);
HideOther;OtherSpeak : Ahahah, we seem to have a hero there fellas, how pathetic!;;;PlayerSpeak : Huzzah!;CheckStatDEX;;CheckStatCHA;
Leave;Node=>combat bandits;;;Node=>combat bandits;PlayerSpeak : Bye!;OtherSpeak : Where do you think you’re going?;PlayerSpeak : Leave now, before I change my mind.;OtherSpeak : Don’t make me laugh!
;;;;;HideOther;Node=>combat bandits;OtherSpeak : We better not risk it lads, let’s go...;Node=>combat bandits
;;;;;Leave;;HideOther;
[combat bandits];;;;;;;Leave;
LaunchCombat;;;;;;;;
[cargaison];;;;;;;;
RandomRange4;;;;;;;;
PlayerSpeak : Nice! That’s the stolen weapon crates we were looking for!;;PlayerSpeak : Nice! The stock of stolen armors!;;PlayerSpeak : Blimey! Those are the stolen food crates we were looking for!;;PlayerSpeak : Nice! That’s the stolen stuff!;;
SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;;
Choice : (keep the weapons)(loot);Choice : (return the weapons)(quest);Choice : (keep the armors)(loot);Choice : (return the armors)(quest);Choice : (keep the food)(loot);Choice : (return the food)(quete);Choice : (keep everything)(loot);Choice : (return the stolen goods)(quest);
PlayerSpeak : Forget the money, we’ll keep the goods.;PlayerSpeak : We got everything, let’s finish the job!;PlayerSpeak : Forget the money, let’s keep everything.;PlayerSpeak : Let’s head back!;PlayerSpeak : Forget the money, we’ll keep everything.;PlayerSpeak : Let’s head back!;PlayerSpeak : Forget about the money, we’ll keep everything.;PlayerSpeak : Let’s head back!;
RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest;
LootWeapons;Leave;LootClothes;Leave;LootFood;Leave;LootMisc;Leave;
GiveUpQuest;;GiveUpQuest;;GiveUpQuest;;GiveUpQuest;;
Leave;;Leave;;Leave;;Leave;;
;;;;;;;;
[fin];;;;;;;;
OtherSpeak : Oh, it’s you!;;;;;;;;
OtherSpeak : Did you retrieve my goods?!;;;;;;;;
SetChoices2;;;;;;;;
Choice : Hmm no… (leave);Choice : Here!;;;;;;;
OtherSpeak : Why even come back if you're empty-handed?;IsQuestAccomplished;;;;;;;
Leave;OtherSpeak : You’re incredible! Thank you from the bottom of my heart!;OtherSpeak : You think this is funny? I can see you’re empty-handed.;;;;;;
;FinishQuest;Leave;;;;;;
;Leave;;;;;;;
