Nom;Fréquence %;Sprite ID;Display Name;;;;;
0;0;0;0;;;;;
[debut];;;;;;;;
OtherSpeak : Mounths ago, a handful of vile crooks came !;;;;;;;;
OtherSpeak : Looking for some intel on NOMTRESOR.;;;;;;;;
OtherSpeak : They stole some of my husbands research;;;;;;;;
OtherSpeak : Get it for me and I’ll share it with you.;;;;;;;;
OtherSpeak : It’s the only thing that I have left of him.;;;;;;;;
SetChoices2;;;;;;;;
Choice : Sorry, I don’t have time for this.;Choice : Heck, why not. I'll see what I can do! (quest);;;;;;;
OtherSpeak : I’m begging you, don’t leave!;AddCurrentQuest;;;;;;;
Leave;OtherSpeak : They went that way!;;;;;;;
;ShowQuestOnMap;;;;;;;
;Leave;;;;;;;
;;;;;;;;
;;;;;;;;
[suite];;;;;;;;
RandomRange2;;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;;
;;;;;;;;
[bandits voient pas];;;;[bandits voient];;;;
Narrator : A group of bandits is resting in the shade of a tree. They don't seem to have noticed CAPITAINE yet.;;;;Narrator : CAPITAINE spots a group of bandits. They’re getting closer.;;;;
Narrator : Behind them are stacked what seems to be stolen crates.;;;;Narrator : Behind them are stacked what seems to be stolen crates.;;;;
NewCrew;;;;NewCrew;;;;
[choix bandits 1];Node=>cargaison;Node=>combat bandits;;[choix bandits 2];Node=>cargaison;Node=>combat bandits;;
SetChoices2;;;;SetChoices3;;;;
Choice : (don’t get involved)(leave);Choice : Hey! You’ll return the stolen goods, this instant! (attack);;;Choice : (attack);Choice : (run)(dex);;Choice : (charm)(cha);
HideOther;OtherSpeak : Ahahah, we seem to have a hero there fellas, how pathetic!;;;PlayerSpeak : Huzzah!;CheckStatDEX;;CheckStatCHA;
Leave;Node=>combat bandits;;;Node=>combat bandits;PlayerSpeak : Bye!;OtherSpeak : Where do you think you’re going?;PlayerSpeak : Leave now, before I change my mind.;OtherSpeak : Don’t make me laugh!
;;;;;HideOther;Node=>combat bandits;OtherSpeak : We better not risk it lads, let’s go...;Node=>combat bandits
;;;;;Leave;;Fade;
[combat bandits];;;;;;;Node=>cargaison;
LaunchCombat;;;;;;;;
Node=>cargaison;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[cargaison];;;;;;;;
Narrator : The bandit leader seems to have some diaries and maps in a small purse.;;;;;;;;
Narrator : Although nothing seems to make any sense for CAPITAINE.;;;;;;;;
Narrator : Maybe the old lady will manage to make sense of it.;;;;;;;;
AccomplishQuest;;;;;;;;
Leave;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fin];;;;;;;;
OtherSpeak : Oh, it’s you!;;;;;;;;
OtherSpeak : Did you get my husbands work !?;;;;;;;;
SetChoices2;;;;;;;;
Choice : Hmm no… (leave);Choice : Here!;;;;;;;
OtherSpeak : Then don’t expect I’ll tell you anything about NOMTRESOR !!!;IsQuestAccomplished;;;;;;;
Leave;OtherSpeak : You’re incredible! Thank you from the bottom of my heart!;OtherSpeak : You think this is funny? You don’t have anything to show;;;;;;
;OtherSpeak : Sadly, even after a life’s work, my husband only figured one thing about NOMTRESOR.;Leave;;;;;;
;OtherSpeak : One word, came up in all of his research;;;;;;;
;OtherSpeak : FORMULA;;;;;;;
;OtherSpeak : I hope it’s enough for you to carry on the search for NOMTRESOR;;;;;;;
;FinishQuest;;;;;;;
;Leave;;;;;;;
