Nom histoire;Fréquence %;Sprite ID;;;;;;
Ecrivain;0;0;;;;;;
[debut];;;;;;;;
OtherSpeak : What’s your name, friend?;;;;;;;[combat écrivain];
Choice : (lie);Choice : (say your name);;;;;;OtherSpeak : Have you gone mad?!;
OtherSpeak : Interesting, because something tells me your name is CAPITAINE...;PlayerSpeak : CAPITAINE, why?;;;;;;RemoveKarma;
OtherSpeak : Am I wrong?;;;;;;;LaunchCombat;
SetChoices2;;;;;;;Node=>écrivain mort;
Choice : How did you know?!;Choice : That’s totally wrong.;;;;;;;
OtherSpeak : I knew it, you're CAPITAINE!;OtherSpeak : Well you should think about changing your name! I’ll still call you CAPITAINE anyway.;;;;;;[écrivain mort];
OtherSpeak : I knew it!;Node=>suite;;;;;;Narrator : On the writer’s desk, there is only a piece of paper.;
;;;;;;;SetChoices2;
[suite];;;;;;;Choice : (take);Choice : (leave)
OtherSpeak : Well CAPITAINE, I have a situation here!;;;;;;;AddToInventory<Bout de papier>/Misc;Leave
OtherSpeak : You see, I’m a writer.;;;;;;;Leave;
OtherSpeak : I need to finish my novel very soon.;;;;;;;;
OtherSpeak : Only one last page to write actually, but I don’t have any ink left!;;;;;;;;
OtherSpeak : Could you find me some, please?;;;;;;;;
SetChoices2;;;;;;;;
Choice : Yeah, why not ?;;;;;;;;
AddCurrentQuest;;;;;;;;
OtherSpeak : Come back quick, please!;;;;;;;;
Switch=>debut;;;;;;;;
Leave;;;;;;;;
;;;;;;;;
[suite];;;;;;;;
OtherSpeak : Ah CAPITAINE, you’re back!;;;;;;;;
OtherSpeak : Do you have what I asked?;;;;;;;;
Node=>a donné encre;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[a donné encre];;;;;;;;
CheckInInventory<Encrier>/Misc;Node=>bout de papier;;;;;;;
SetChoices3;;;SetChoices2;;;;;
Choice : Sorry, I don’t have any ink.;Choice : I'll see if I can find any for you and bring it back here. (quest);Choice : Here…;Choice : Don’t have any ink bottle, sorry.;Choice : If I find a bottle I’ll give it to you. (quest);;;;
OtherSpeak : Gosh darn!;OtherSpeak : Marvellous, thank you!;OtherSpeak : My saviour, you really found some ink!;OtherSpeak : Poop!;OtherSpeak : Many thanks!;;;;
Leave;Leave;OtherSpeak : There’s only one other thing I'm missing.;Leave;Leave;;;;
;;[bout de papier];;;;;;
;;OtherSpeak : You wouldn’t have a piece of paper for me now would you?;;;;;;
;;CheckInInventory<Bout de papier>/Misc;;;;;;
;;SetChoices3;;;SetChoices2;;;
;;Choice : No paper, sorry.;Choice : If I ever find one, I’ll bring it to you. (quest);Choice : Here…;Choice : No paper, sorry.;Choice : If I find some, I’ll give it to you. (quest);;
;;OtherSpeak : Heck!;OtherSpeak : Many thanks!;OtherSpeak : Blimey ! You’re a saint, thanks!;OtherSpeak : Darn!;OtherSpeak : Many thanks!;;
;;Leave;Leave;OtherSpeak : At last, I will be able to finish my novel!;Leave;Leave;;
;;;;OtherSpeak : Tell you what, my good friend.;;;;
;;;;OtherSpeak : Come see me again in a moment.;;;;
;;;;OtherSpeak : And if the novel is a success... I’ll happily give you your share of the profit!;;;;
;;;;OtherSpeak : It wouldn't have been possible without your help, after all.;;;;
;;;;OtherSpeak : See you around!;;;;
;;;;Switch=>debut;;;;
;;;;Leave;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[bénéfices];;;;;;;;
OtherSpeak : Ah CAPITAINE, there you are!;;;;;;;;
RandomRange5;;;;;;;;
OtherSpeak : I have very bad news, unfortunately.;OtherSpeak : You’re back!;OtherSpeak : You’re back!;OtherSpeak : You’re back!;OtherSpeak : Ah, it’s you again...;;;;
OtherSpeak : The novel was a flop. Complete disaster. In fact I don't know what to do with all these unsold copies.;OtherSpeak : The novel did ok, I guess...;OtherSpeak : The novel did good around these parts!;OtherSpeak : The novel was an outstanding success, my friend!;OtherSpeak : The novel was an outstanding success. ;;;;
OtherSpeak : So I don’t have any money to give you, my poor companion.;OtherSpeak : Here, I didn’t earn much from it but this is for you!;OtherSpeak : I’m very happy! Here, your share as promised!;OtherSpeak : I owe you big time! Here, your share!;OtherSpeak : But, I decided not to give you anything in return.;;;;
OtherSpeak : But please, at least have a copy of the book!;AddGold50;AddGold150;AddGold300;OtherSpeak : You see, your help was insignificant, and I don’t even need you anymore...;;;;
AddToInventory<Roman>/Misc;OtherSpeak : Don't forget your copy of the book too!;OtherSpeak : And a copy of the book for you of course!;OtherSpeak : And your copy of the book, let me know what you think, partner!;OtherSpeak : I don’t even have a copy to give you. They’re all gone!;;;;
Node=>suite bénéfices;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;;;;
;Node=>suite bénéfices;Node=>suite bénéfices;Node=>suite bénéfices;Node=>suite bénéfices;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[suite bénéfices];;;;;;;;
SetChoices2;;;;;;;;
Choice : Thanks anyway.;Choice : That’s not enough! (attack);;;;;;;
FinishQuest;Node=>combat écrivain;;;;;;;
OtherSpeak : Fare thee well CAPITAINE, thank you.;;;;;;;;
Leave;;;;;;;;
