Nom histoire;Fréquence %;Sprite ID;;;;;;
Ecrivain;15,79;0;;;;;;
[debut];;;;;;;;
OtherSpeak : C'est quoi votre petit nom ?;;;;;;;[combat écrivain];
Choice : (mentir);Choice : (dire son nom);;;;;;OtherSpeak : Vous êtes malade ?!;
OtherSpeak : Je vois, vous avez tout de même une tête de CAPITAINE;PlayerSpeak : CAPITAINE, pourquoi ?;;;;;;RemoveKarma;
OtherSpeak : Je me trompe ?;;;;;;;LaunchCombat;
SetChoices2;;;;;;;Node=>écrivain mort;
Choice : C'est éxact;Choice : Totalement à côté de la plaque.;;;;;;;
OtherSpeak : J'en étais sûr.;OtherSpeak : Je vais quand même vous appeler CAPITAINE.;;;;;;[écrivain mort];
OtherSpeak : J'en étais sûr.;Node=>suite;;;;;;Narrator : Sur la table de l'écrivain, il ne reste qu'un bout de papier.;
;;;;;;;SetChoices2;
[suite];;;;;;;Choice : (prendre);Choice : (partir)
OtherSpeak : Je suis dans une panique terrible !;;;;;;;AddToInventory<Bout de papier>/Misc;Leave
OtherSpeak : Je suis écrivain...;;;;;;;Leave;
OtherSpeak : Je dois finir mon roman dans très peu de temps...;;;;;;;;
OtherSpeak : Et je n'ai qu'une feuille blanche et il ne me reste plus d'encre !;;;;;;;;
OtherSpeak : Vous voulez me donner un coup de main ?;;;;;;;;
SetChoices2;;;;;;;;
Choice : Pourquoi pas !;;;;;;;;
AddCurrentQuest;;;;;;;;
OtherSpeak : Revenez vite !;;;;;;;;
Switch=>debut;;;;;;;;
Leave;;;;;;;;
;;;;;;;;
[suite];;;;;;;;
OtherSpeak : Ah vous revoilà;;;;;;;;
OtherSpeak : Vous avez ce que je cherche ?;;;;;;;;
Node=>a donné encre;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[a donné encre];;;;;;;;
CheckInInventory<Encrier>/Misc;Node=>bout de papier;;;;;;;
SetChoices3;;;SetChoices2;;;;;
Choice : Je n'ai pas d'encier, navré;Choice : Si j'en vois un, je vous l'apporte (quete);Choice : Tenez...;Choice : Je n'ai pas d'encier, navré;Choice : Si j'en vois un, je vous l'apporte (quete);;;;
OtherSpeak : Mince !;OtherSpeak : Merci bien !;OtherSpeak : Vous êtes mon sauveur !;OtherSpeak : Mince !;OtherSpeak : Merci bien !;;;;
Leave;Leave;OtherSpeak : Il me manque juste quelque chose.;Leave;Leave;;;;
;;[bout de papier];;;;;;
;;OtherSpeak : Vous n'auriez pas un bout de papier pour moi ?;;;;;;
;;CheckInInventory<Bout de papier>/Misc;;;;;;
;;SetChoices3;;;SetChoices2;;;
;;Choice : Aucune feuille, navré;Choice : Si j'en vois un, je vous l'apporte (quete);Choice : Tenez...;Choice : Aucune feuille, navré;Choice : Si j'en vois un, je vous l'apporte (quete);;
;;OtherSpeak : Mince !;OtherSpeak : Merci bien !;OtherSpeak : Sapristi ! Vous êtes génial;OtherSpeak : Mince !;OtherSpeak : Merci bien !;;
;;Leave;Leave;OtherSpeak : Je vais pouvoir finir mon roman;Leave;Leave;;
;;;;OtherSpeak : Je vais vous dire !;;;;
;;;;OtherSpeak : Revenez dans quelques minutes.;;;;
;;;;OtherSpeak : Si le romam se vend bien.;;;;
;;;;OtherSpeak : Je vous donnerais une partie des bénifices.;;;;
;;;;OtherSpeak : A la prochaine;;;;
;;;;Switch=>debut;;;;
;;;;Leave;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[bénéfices];;;;;;;;
OtherSpeak : Ah vous voilà;;;;;;;;
RandomRange5;;;;;;;;
OtherSpeak : Je suis navré j'ai de mauvaises nouvelles.;OtherSpeak : Vous revoilà;OtherSpeak : Vous revoilà !;OtherSpeak : Vous revoilà !;OtherSpeak : Ah, vous revoilà...;;;;
OtherSpeak : Le roman n'a eu aucun succès.;OtherSpeak : Le roman a eu un succès mitigé;OtherSpeak : Le roman a eu un succès local;OtherSpeak : Le roman a eu un succès phénoménal.;OtherSpeak : Le roman a eu un succès phénoménal.;;;;
OtherSpeak : Je n'ai même plus d'argent à vous donner.;OtherSpeak : Je dois avoir quelques sous pour vous;OtherSpeak : Me voilà bien heureux, voilà votre part;OtherSpeak : Je vous dois très gros !!!!!;OtherSpeak : En revanche, je ne peux vous donner d'argent.;;;;
OtherSpeak : Voici quand même votre exemplaire.;AddGold50;AddGold150;AddGold300;OtherSpeak : Non seulement j'en ai plus besoin que vous, mais votre n'a été que dérisoire.;;;;
AddToInventory<Roman>/Misc;OtherSpeak : Voici quand même votre exemplaire.;OtherSpeak : Voici aussi votre exemplaire.;OtherSpeak : Voici aussi votre exemplaire, dites moi ce que vous en pensez !;OtherSpeak : Je n'ai même pas un exemplaire à vous donner. Ils sont tous partis.;;;;
Node=>suite bénéfices.;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;AddToInventory<Roman>/Misc;;;;
;Node=>suite bénéfices.;Node=>suite bénéfices.;Node=>suite bénéfices.;Node=>suite bénéfices.;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[suite bénéfices];;;;;;;;
SetChoices2;;;;;;;;
Chocie : Merci quand meme;Choice : Ça va pas suffir (attaquer);;;;;;;
Finish Quest;Node=>combat écrivain;;;;;;;
OtherSpeak : A la bonne heure;;;;;;;;
Leave;;;;;;;;
