Nom;Fréquence %;Sprite ID;;;;;;
Kidnap;31,58;0;;;;;;
[debut];;;;;;;;
OtherSpeak : Mon enfant !;;;;;;;;
OtherSpeak : Des bandits ont pris mon enfant !;;;;;;;;
OtherSpeak : Vous pouvez faire quelque chose ?;;;;;;;;
SetChoices2;;;;;;;;
Choice : Non c'est pas possible;Choice : Je m'en occupe(quete);;;;;;;
OtherSpeak : Vous êtes sans cœur !;AddCurrentQuest;;;;;;;
Leave;OtherSpeak : Ils sont partis par là;;;;;;;
;ShowQuestOnMap;;;;;;;
;Leave;;;;;;;
[suite];;;;;;;;
RandomRange2;;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;;
;;;;;;;;
[bandits voient pas];;;;[bandits voient];;;;
Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils n’ont pas encore vu CAPITAINE.;;;;Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils s’approche dangereusement de CAPITAINE;;;;
Narrator : Derrière eux, une personne appelle à l’aide, les mains attachées.;;;;Narrator : Derrière eux, une personne appelle à l’aide, les mains attachées.;;;;
NewCrew;;;;NewCrew;;;;
[choix bandits 1];Node=>retrouvage;Node=>combat bandits;;[choix bandits 2];Node=>retrouvage;Node=>combat bandits;;
SetChoices2;;;;SetChoices3;;;;
Choice : (continuer son chemin)(partir);Choice : Hey ! Libérez le gamin !? (attaquer);;;Choice : (attaquer);Choice : (courir)(dex);;Choice : (charmer)(cha);
HideOther;OtherSpeak : Et alors ?;;;PlayerSpeak : Huzzah !;CheckStatDEX;;CheckStatCHA;
Leave;Node=>combat bandits;;;Node=>combat bandits;PlayerSpeak : Tayoh !;OtherSpeak : Vous allez où comme ça ?;PlayerSpeak : Je suis PLUS bon que vous :;OtherSpeak : Vous allez où comme ça ?
;;;;;HideOther;Node=>combat bandits;OtherSpeak : On s’arrache les gars;Node=>combat bandits
;;;;;Leave;;HideOther;
[combat bandits];;;;;;;Leave;
LaunchCombat;;;;;;;;
PlayerSpeak : Morts !;;;;;;;;
[retrouvage];;;;;;;;
NewCrew1;;;;;;;;
OtherSpeak : Enfin ! Je vais rentrer à la maison !;;;;;;;;
[choix kidnap];;;;;;;;
SetChoices2;;;;;;;;
Choice : Oublie tes parents ! Rejoins l’équipe(nouveau membre);Choice : On te ramène chez tes parents !(quete);;;;;;;
OtherSpeak : Alors là oui !;OtherSpeak : Merci !;;;;;;;
OtherSpeak : Tout sauf la raclée que je vais recevoir.;AccomplishQuest;;;;;;;
OtherSpeak : Pour avoir fugué !;Leave;;;;;;;
AddMember;;;;;;;;
GiveUpQuest;;;;;;;;
RemoveKarma;;;;;;;;
Leave;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fin];;;;;;;;
IsQuestAccomplished;;;;;;;;
OtherSpeak : Mon enfant !;OtherSpeak : Où est mon enfant ! Il va bien ?;;;;;;;
OtherSpeak : Merci de tout coeur !;Leave;;;;;;;
FinishQuest;;;;;;;;
Leave;;;;;;;;
