Nom;Fréquence / 5;Sprite ID;Display Name;;
Treasure Bad Karma;0;4;Huge Island;;
[debut];;;;;
Narrator : The island is massive. Far away, at the center, stands a tall mountain surounded by a thick forest.;;;;;
CheckQuest=>choix debut;;;;;
[choix debut];;;;;
SetChoices3;;;;;
Choice : (leave);Choice : (set up camp) (sleep);Choice : (to the forest);;;
PlayerSpeak : Let's go!;ChangeTimeOfDay;Node=>vers la foret;;;
Leave;Node=>debut;;;;
;;;;;
[vers la foret];;;;;
Narrator : After walking for hours, NOMBATEAU is only a small dot on the horizon. CAPITAINE finally reaches the forest.;;;;;
SetBG(Forest);;;;;
PlayerSpeak : There we are!;;;;;
[entree foret];;;;;
SetChoices2;;;;;
Choice : (go back to the beach);Choice : (enter the forest);;;;
ChangeTimeOfDay;Fade;;;;
PlayerSpeak : All this walking just to go back…;Node=>porte de la foret;;;;
Node=>debut;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
[porte de la foret];;;;;
Narrator : CAPITAINE walks deeper in the thickening forest, until a wall as tall as NOMBATEAU is blocking the way. The only way through is a closed gate.;;;;;
[choix porte];;;;;
SetChoices2;;;;;
Choice : (go back);Choice : (open the gate);;;;
Fade;[porte ouverte ?];;;;
Node=>entree foret;Node=>devant les indices;Fade;;;
;;Node=>devant pierre magique;;;
;;;;;
[devant les indices];;;;;
Narrator : A dark and gloomy voice echoes from behind the trees.;;;;;
Narrator : « Speak the words »;;;;;
[indices];;;;;
CheckClues;;;;;
Fade;;Fade;Fade;;
PlayerSpeak : ... Nothing happened?;;Narrator : A big rumble echoes through the swamp, scattering away a few frogs.;Narrator : « You have spoken all the words »;;
[next];;Narrator : « You have spoken the right word »;Narrator : The gate opens.;;
SetChoices2;;Narrator : « Speak NUMBEROFFORMULAS the words »;Switch=>porte ouverte ?;;
Choice : (leave the forest);Choice : (try again);PlayerSpeak : I think we’re getting closer!;Fade;;
Narrator : Without too much trouble, the crew retrace their steps to the forest’s entrance.;Node=>indices;Node=>next;Node=>devant pierre magique;;
Fade;;;;;
Node=>entree foret;;;;;
;;;;;
;;;;;
[devant pierre magique];;;;;
Narrator : The trees are so tall that one couldn’t see the top. A thick, greenish fog is surrounding CAPITAINE and the crew.;;;;;
[rune ouverte ?];;;;;
Narrator : An ancient rock is blocking the way. It's covered in moss but there are drawings and carvings on it.;;Narrator : CAPITAINE stands before the hole uncovered by the rock.;;;
[choix porte];;Node=>choix entrée gouffre;;;
SetChoices2;;;;;
Choice : (leave the forest);Choice : (get closer to the rune);;;;
Narrator : Without too much trouble, the crew retrace their steps to the forest’s entrance.;Node=>runes;;;;
Fade;;;;;
Node=>entree foret;;;;;
;;;;;
