Data Name;Fréquence / 5;Sprite ID;Display Name
Small Forest;0;4;Huge Island
[debut];;;
Narrator : The island is massive. Far away, at the center, stands a tall mountain surounded by a thick forest.;;;
CheckQuest=>choix debut;;;
[choix debut];;;
SetChoices3;;;
Choice : (go back);Choice : (set up camp);Choice : (to the forest);
PlayerSpeak : Let's go!;ChangeTimeOfDay;Node=>vers la foret;
Leave;Node=>debut;;
;;;
[vers la foret];;;
Narrator : After walking for hours, NOMBATEAU is only a small dot on the horizon. CAPITAINE finally reaches the forest.;;;
SetBG(Forest);;;
PlayerSpeak : There we are!;;;
[entree foret];;;
SetChoices2;;;
Choice : (go back to the beach);Choice : (enter the forest);;
ChangeTimeOfDay;Fade;;
PlayerSpeak : All this walking just to go back…;Node=>porte de la foret;;
Node=>debut;;;
;;;
;;;
;;;
;;;
;;;
[porte de la foret];;;
Narrator : CAPITAINE walks deeper in the thickening forest, until a wall as tall as NOMBATEAU is blocking the way. The only way through is a closed gate.;;;
[choix porte];;;
SetChoices2;;;
Choice : (go back);Choice : (open the gate);;
Fade;[porte ouverte ?];;
Node=>entree foret;Node=>devant les indices;Fade;
;;Node=>entrée gouffre;
;;;
[devant les indices];;;
Narrator : A dark and gloomy voice echoes from behind the trees.;;;
Narrator : « Speak the words »;;;
[indices];;;
CheckClues;;;
Fade;;Fade;Fade
PlayerSpeak : ... Nothing happened?;;Narrator : A big rumble echoes through the forest, scattering away a few birds.;Narrator : « You may pass »
[next];;PlayerSpeak : I think we’re getting closer!;Narrator : The gate opens.
SetChoices2;;Node=>next;Switch=>porte ouverte ?
Choice : (leave the forest);Choice : (try again);;Fade
Narrator : Without too much trouble, the crew retrace their steps to the forest’s entrance.;Node=>indices;;Node=>entrée gouffre
Fade;;;
Node=>entree foret;;;
;;;
;;;
[entrée gouffre];;;
Narrator : Slowly, the rock rises from the floor and disappears in the sky, revealing in front of CAPITAINE a dark and deep hole.;;;
[choix entrée gouffre];;;
SetChoices2;;;
Choice : Let’s go down!;Choice : (leave the forest);;
Fade;Narrator : Without too much trouble, the crew retrace their steps to the forest’s entrance.;;
Node=>dans gouffre;Fade;;
;Node=>entree foret;;
;;;
;;;
[dans gouffre];;;
SetBG(Cave);;;
Narrator : After falling for a few seconds, CAPITAINE and the crew end up into an underground lake.;;;
Narrator : The whole cave is lit by a dim blue light coming from a rocky corridor.;;;
Narrator : On the walls, a crack is letting through a beam of sunlight.;;;
[choix grotte];;;
SetChoices2;;;
Choice : (follow corridor);Choice : (leave through the crack);;
Fade;Fade;;
Node=>couloir;Narrator : CAPITAINE and the crew are back on the beach.;;
;Narrator : They turn but it's too late, the crack closes behind them, like a cut turning into a scar.;;
;Node=>debut;;
;;;
;;;
[couloir];;;
PlayerSpeak : Blimey!;Node=>trésor;;
Narrator : The corridor leads to a massive room, carved in the rock. In the middle of it is a platform with a big shiny chest on top.;;;
Narrator : As CAPITAINE steps on the platform, the walls start to rumble. A deafening clap of thunder cracks, as a blinding flash of light forces everybody to cover their eyes.;;;
NewCrew4/?/TREASURE;;;
Narrator : When they regain their senses, four men with putrid faces are holding bloody swords right behind CAPITAINE.;Node=>trésor;LaunchCombat;
OtherSpeak : This is the end of you, mortals.;;Node=>combat trésor;
Node=>combat trésor;;;
;;;
[combat trésor];;;
LaunchCombat;;;
Node=>trésor;;;
;;;
[trésor];;;
Switch=>couloir;;;
Narrator : The cave has gone perfectly silent, except for the very faint singing of birds in the distance, heard from a hole in the ceiling.;;;
Narrator : CAPITAINE ‘s dream is right in front of them.;;;
SetChoices2;;;
Choice : (go back to the center of the cave);Choice : (open the chest);;
Fade;Node=>oui;;
Node=>choix grotte;;;
;;;
[oui];;;
Fade;;;
EndMap;;;
