Nom histoire;Fréquence %;Sprite ID;;;;;;
Trésor;0;0;;;;;;
[debut];;;;;;;;
Narrator : L'ile est couverte de sapins à perte de vue. On ne voit pas à quelques mètres derrière les arbres.;;;;;;;;
[connaît labyrinthe];;;;;;;;
Node=>choix bateau;PlayerSpeak : Je connais ce labyrinthe comme ma poche;;;;;;;
;SetChoices2;;;;;;;
;Choice : (aller au bout directement);Choice : (repartir);;;;;;
;Node=>retour fin;Leave;;;;;;
;;;;;;;;
[choix bateau];;;;;[description de rien];;;
SetChoices2;;;;;RandomRedoRange3;;;
Choice : (partir);Choice : (entrer dans la foret);;;;Narrator : Le feuillage des arbres s’épaissit avec la brume. On ne voit plus rien a un mètre. C'est un vrai labyrinthe.;Narrator : CAPITAINE a déjà vu ces rochers, ces racines et ces sapins. On tourne en rond. C'est un vrai labyrinthe.;Narrator : Un immense falaise bloque le chemin. Depuis son sommet, CAPITAINE voit des sapins a perte de vue. L’horizon ne presente pas un bout d ocean. C'est un vrai labyrinthe.;
Leave;Node=>entrée forêt;;;;Node=>choix 1;Node=>choix 1;Node=>choix 1;
;;;;;;;;
[entrée forêt];;;;;;;;
CheckQuest=>choix entrée forêt;PlayerSpeak : Il est hors de question,;;;;;;;
Narrator :  NOMBATEAU s'eloigne de plus en plus, on ne voit que son mat derrirère les immenses arbres.;PlayerSpeak : Que je remette les pieds dans ce labyrinthe.;;;;;;;
[choix entrée forêt];Leave;;;;;;;
SetChoices2;;;;;;;;
Choice : (rebrousser chemin);Choice : (continuer vers la forêt);;;;;;;
Fade;Node=>choix 1;;;;;;;
Node=>choix bateau;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 1];;;;;;;;
ChangeTimeOfDay;;;;[lieu 1];;;;
Narrator :  Un immense arbre tordu fait de l’ombre à un gros rocher mousseux.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (contourner le rocher);Choice : (prendre la direction de l’arbre);Choice : (passer entre les deux);;;ChangeStory=>Bandits[arrivée bandits/choix 1];ChangeStory=>Manoir[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 1;Node=>choix 2;Node=>lieu 1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 2];;;;;;;;
Fade;;;;[lieu 2];;;;
Narrator : Une cavité fend une falaise colossale. CAPITAINE entend un ruissellement au loin.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (suivre ruissellement);Choice : (grimper falaise);Choice : (entrer dans cavité);;;ChangeStory=>Bandits[arrivée bandits/choix 1];ChangeStory=>Manoir[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 2;Node=>lieu 2;Node=>choix 3;;;;;;
;;;;;;;;
;;;;;;;;
[choix 3];;;;[lieu 3];;;;
Narrator : Un champs de blé s’étend devant CAPITAINE en sortant de la cavité. A l’est, d’imposantes cimes sapinesques.;;;;RandomPercent80;;;;
Narrator : Une brume épaisse voile l’ouest.;;;;Node=>description de rien;RandomRange4;;;
SetChoices3;;;;;ChangeStory=>Bandits[arrivée bandits/choix 1];ChangeStory=>Manoir[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Choice : (vers les cimes);Choice : (vers le brouillard);Choice : (traverser le champs);;;;;;
Node=>lieu 3;Node=>choix 4;Node=>lieu 3;;;;;;
;;;;;;;;
;;;;;;;;
[choix 4];;;;[lieu 4];;;;
Narrator : La brume dévoile une clairière. Elle est traversée par une rivière et recouverte d’un tapis de feuille morte.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (descendre la rivière);Choice : (remonter la rivière);Choice : (traverser la rivière);;;ChangeStory=>Bandits[arrivée bandits/choix 1];ChangeStory=>Manoir[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 4;Node=>lieu 4;Node=>choix 5;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 5];;;;[lieu 5];;;;
Narrator : Une plaine verdoyante s’étend à perte de vue. Elle est bordée, à l’est, par un marécage, et à l’ouest par une un gigantesque saule pleureur.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (vers le saule);Choice : (vers le marécage);Choice : (traverser la plaine);;;ChangeStory=>Bandits[arrivée bandits/choix 1];ChangeStory=>Manoir[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 5;Node=>fin;Node=>lieu 5;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fin];[retour fin];;;;;;;
